interest,f0,debt_loan_ratio,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_u,recircle_b,scoring_high,scoring_low,early_return,class,year_of_loan,censor_status,house_exist,work_year,use,isDefault
13.519,5.0,8.427272727,9,0,0.0,48.34615385,4276.0,736.6666667,680.0,2,C,3,1,1,10+ years,3,0
11.421,4.0,8.854545455,7,0,0.0,87.41538462,15071.53846,639.5454545,548.1818182,2,C,5,0,0,10+ years,4,0
19.338,,8.93,8,1,1.0,5.423076923,921.8461538,741.4772727,593.1818182,0,D,5,2,1,10+ years,1,1
13.545,4.0,2.438181818,6,0,0.0,6.461538462,552.6923077,890.9090909,763.6363636,0,C,5,0,2,,3,1
12.99,8.0,18.72,14,0,0.0,62.42307692,20673.69231,793.3333333,680.0,1,B,3,2,1,8 years,0,0
17.919,3.0,11.97818182,9,1,1.0,31.01538462,5123.0,809.5454545,747.2727273,0,C,3,0,1,10+ years,4,1
14.421,,20.11090909,9,0,0.0,84.69230769,17533.38462,742.4242424,636.3636364,0,B,3,2,1,6 years,11,0
9.75,12.0,26.10545455,37,0,0.0,46.6,41427.69231,840.0,720.0,0,B,3,1,0,10+ years,4,1
12.69,5.0,9.087272727,8,0,0.0,69.89230769,10902.76923,607.1590909,560.4545455,0,C,3,2,1,7 years,0,0
8.789,2.0,22.57363636,11,0,0.0,41.1,16076.30769,916.3636364,785.4545455,0,A,3,0,1,10+ years,0,0
5.32,4.0,9.196363636,8,0,0.0,56.2,12051.92308,929.0909091,796.3636364,0,A,3,0,0,10+ years,4,0
24.695,13.0,35.74545455,20,1,0.0,80.12307692,24308.30769,767.0454545,613.6363636,0,F,5,0,2,10+ years,0,1
18.689,3.0,20.50909091,10,0,0.0,47.16923077,9998.153846,815.4545455,752.7272727,0,D,3,2,1,9 years,7,0
18.854,3.0,11.15181818,11,0,0.0,101.9,42127.38462,816.6666667,700.0,0,D,5,2,1,10+ years,0,0
12.089,5.0,2.7,8,1,1.0,23.88461538,8822.0,906.8181818,725.4545455,0,B,5,2,0,3 years,2,0
13.67,2.0,6.316363636,23,1,1.0,28.1,5556.0,696.8181818,597.2727273,0,C,5,1,0,10+ years,0,1
11.421,,8.1,8,0,0.0,0.6,50.0,797.7272727,736.3636364,0,B,3,0,1,3 years,1,0
15.389,7.0,19.82181818,13,1,1.0,86.07692308,16388.61538,825.0,660.0,0,C,3,2,1,10+ years,0,0
8.541,11.0,17.33,20,0,0.0,67.26923077,23210.76923,912.5,730.0,0,B,3,0,0,9 years,4,0
17.99,4.0,12.01090909,11,0,0.0,41.53846154,13140.0,710.7954545,568.6363636,0,D,3,1,1,< 1 year,4,0
12.582,3.0,8.312727273,11,0,0.0,75.9,13504.0,649.0909091,556.3636364,0,C,3,2,0,3 years,4,0
23.298,11.0,15.16,21,0,0.0,19.84615385,12552.69231,664.7727273,613.6363636,0,E,3,2,0,10+ years,0,0
12.639,10.0,20.39090909,23,0,0.0,25.5,25902.15385,763.75,705.0,0,B,3,1,0,8 years,0,0
17.171,4.0,6.785454545,21,0,0.0,70.10769231,10675.0,747.7272727,640.9090909,0,D,3,1,0,8 years,4,1
10.736,3.0,14.67272727,9,0,0.0,71.18461538,10856.30769,663.4090909,568.6363636,0,B,5,0,2,1 year,0,0
12.74,6.0,14.93181818,7,0,0.0,73.66153846,14148.0,780.0,720.0,0,C,3,1,1,< 1 year,0,0
12.089,3.0,12.92,6,1,1.0,67.6,8974.615385,715.0,660.0,0,B,3,1,1,< 1 year,4,0
20.064,7.0,24.98181818,9,0,0.0,78.11538462,33769.0,910.0,780.0,0,D,5,1,2,10+ years,0,0
10.99,4.0,3.829090909,12,0,0.0,29.1,20000.30769,763.6363636,654.5454545,0,B,3,1,0,10+ years,5,0
13.779,7.0,33.65454545,9,1,1.0,41.1,8465.538462,721.2121212,618.1818182,0,C,3,2,1,10+ years,4,1
9.135,5.0,26.41,12,0,0.0,59.6,11406.92308,680.1136364,544.0909091,0,B,3,1,0,9 years,0,1
10.087,13.0,15.86,19,0,0.0,56.5,9494.769231,731.25,675.0,0,B,3,0,0,3 years,4,0
13.44,3.0,12.88363636,11,0,0.0,11.8,1668.923077,633.75,585.0,0,C,5,1,2,2 years,5,0
16.555,1.0,10.60363636,11,0,0.0,85.38461538,5034.0,878.1818182,752.7272727,0,C,3,1,1,10+ years,0,1
14.661,9.0,9.703636364,13,0,0.0,32.63076923,8156.615385,767.0454545,613.6363636,0,C,3,0,0,1 year,5,1
6.633,10.0,21.9,24,0,0.0,46.61538462,54313.53846,663.4090909,568.6363636,0,A,3,2,0,2 years,0,0
10.026,8.0,2.560909091,13,0,0.0,41.7,24421.84615,881.25,705.0,0,B,3,1,0,3 years,4,1
7.26,4.0,9.84,17,1,0.0,34.46153846,28470.0,869.1666667,745.0,0,A,3,1,1,6 years,0,0
7.667,11.0,28.86363636,20,0,0.0,43.50769231,355336.1538,929.0909091,796.3636364,0,A,3,1,0,10+ years,4,0
10.503,5.0,12.52727273,11,0,0.0,31.66153846,25702.15385,710.7954545,568.6363636,0,B,3,2,1,< 1 year,4,0
18.04,,11.99090909,22,0,0.0,16.8,19183.84615,638.1818182,589.0909091,5,E,5,1,0,7 years,0,0
5.616,2.0,7.06,6,0,0.0,35.26153846,14143.0,772.1590909,617.7272727,0,A,3,0,0,< 1 year,4,0
18.205,13.0,30.82727273,18,0,0.0,81.52307692,45828.46154,700.0,600.0,3,D,5,0,0,< 1 year,4,0
16.99,1.0,23.80909091,4,0,0.0,106.1538462,6959.076923,827.2727273,763.6363636,1,D,3,2,1,2 years,5,0
5.32,3.0,7.57,9,0,0.0,5.815384615,3156.0,950.8333333,815.0,2,A,3,0,0,8 years,2,0
8.253,3.0,8.860909091,7,3,0.0,41.81538462,17945.76923,675.0,540.0,2,B,3,1,0,10+ years,4,0
16.99,5.0,15.95454545,16,0,0.0,8.861538462,2922.461538,968.1818182,774.5454545,0,D,5,2,2,2 years,2,0
11.997,3.0,17.80363636,11,0,0.0,73.87692308,6349.538462,585.0,540.0,0,C,3,2,1,2 years,5,0
7.551,6.0,10.68,9,0,0.0,78.18461538,21350.0,679.5454545,627.2727273,3,B,3,2,0,,0,0
13.959,3.0,11.95636364,7,0,0.0,49.10769231,35625.69231,816.6666667,700.0,2,C,3,2,0,10+ years,0,0
5.841,3.0,15.99545455,16,0,0.0,35.19230769,24312.0,875.0,700.0,1,A,3,1,0,10+ years,1,0
11.165,5.0,12.80454545,8,0,0.0,18.0,4155.846154,785.4166667,725.0,3,B,3,2,1,3 years,0,0
10.07,5.0,10.91818182,10,0,0.0,10.73076923,6685.538462,664.7727273,613.6363636,4,B,5,1,0,10+ years,2,0
7.101,6.0,24.29,9,0,0.0,67.63076923,17595.84615,850.0,680.0,3,A,3,0,0,7 years,0,0
18.205,14.0,25.61727273,22,0,0.0,49.84615385,45518.0,663.4090909,568.6363636,2,D,5,1,0,10+ years,0,0
20.405,5.0,21.78,8,0,0.0,61.27692308,5331.846154,616.0227273,568.6363636,3,E,5,2,2,7 years,2,0
13.98,20.0,26.04272727,25,0,0.0,53.73846154,26001.23077,607.1590909,560.4545455,3,C,3,1,0,9 years,0,0
15.99,10.0,21.99,17,0,0.0,63.6,11560.61538,878.1818182,752.7272727,0,C,3,1,1,10+ years,5,1
7.9,4.0,21.69818182,11,0,0.0,65.04615385,30019.61538,1002.272727,801.8181818,3,A,3,0,1,5 years,0,0
21.472,7.0,13.77,10,0,0.0,76.2,24620.76923,679.5454545,627.2727273,0,E,5,0,1,2 years,4,1
14.99,6.0,12.06363636,13,0,0.0,71.07692308,23326.15385,721.2121212,618.1818182,2,C,5,1,0,< 1 year,0,0
16.99,5.0,30.20727273,14,0,0.0,35.65384615,17591.0,834.1666667,715.0,0,D,3,1,0,2 years,2,1
12.617,8.0,26.36727273,13,0,0.0,42.43076923,9593.076923,981.8181818,785.4545455,3,B,3,0,0,3 years,4,0
16.875,12.0,13.84363636,13,0,0.0,90.80769231,6140.0,785.9090909,725.4545455,0,D,3,0,0,10+ years,4,0
15.61,5.0,11.34545455,7,1,1.0,59.4,21609.53846,772.7272727,618.1818182,0,C,5,2,0,< 1 year,4,0
14.661,5.0,17.17363636,10,0,0.0,47.81538462,32989.38462,878.1818182,752.7272727,0,D,3,0,0,4 years,0,0
6.92,,14.74363636,10,0,0.0,16.38461538,5535.692308,795.4545455,681.8181818,0,A,3,1,1,< 1 year,0,0
16.99,3.0,15.6,13,0,0.0,14.0,1929.230769,658.6363636,564.5454545,0,D,5,1,2,9 years,2,0
8.496,7.0,27.09090909,13,0,0.0,73.66153846,40788.0,763.6363636,654.5454545,0,B,3,0,0,10+ years,5,0
18.75,5.0,20.01818182,9,0,0.0,75.16923077,9987.692308,695.4545455,556.3636364,0,D,3,0,0,,2,1
25.506,3.0,12.12545455,8,2,2.0,18.63076923,3081.923077,785.9090909,725.4545455,0,G,5,1,0,10+ years,0,1
15.99,8.0,29.79090909,17,0,0.0,76.46153846,46340.76923,629.3181818,580.9090909,0,C,5,0,0,1 year,0,1
15.389,8.0,20.8,12,0,0.0,50.19230769,10879.61538,846.3636364,725.4545455,0,C,3,2,1,,0,1
18.24,4.0,17.60909091,10,0,0.0,89.81538462,8713.384615,742.4242424,636.3636364,0,D,3,0,1,2 years,10,0
22.825,2.0,11.03,5,0,0.0,24.7,1063.0,668.1818182,572.7272727,0,E,3,1,0,10+ years,2,0
17.568,18.0,25.55,23,0,0.0,80.23076923,47755.07692,731.25,675.0,0,E,5,1,0,10+ years,0,1
11.44,2.0,12.88,8,0,0.0,47.1,2957.538462,629.3181818,580.9090909,0,B,3,1,1,< 1 year,0,0
12.837,7.0,18.41454545,11,0,0.0,70.2,14883.0,679.5454545,627.2727273,0,B,3,1,1,1 year,4,0
12.617,7.0,34.17,20,1,0.0,16.3,10147.0,920.4545455,736.3636364,0,B,3,2,0,9 years,2,0
16.797,,21.99090909,9,0,0.0,98.75384615,15135.0,920.4545455,736.3636364,0,C,3,0,1,3 years,0,0
7.91,2.0,0.785454545,10,0,0.0,31.2,2301.923077,940.9090909,752.7272727,0,A,3,0,0,10+ years,2,0
9.99,4.0,13.19727273,7,0,0.0,74.30769231,8263.384615,840.0,720.0,0,B,3,1,0,10+ years,0,0
10.99,8.0,12.26454545,11,0,0.0,56.32307692,8166.461538,884.5454545,758.1818182,0,B,3,0,2,10+ years,0,0
8.19,1.0,7.767272727,6,1,1.0,66.7,5030.307692,799.1666667,685.0,0,A,3,1,1,3 years,0,0
8.991,7.0,21.66,11,0,0.0,67.84615385,14471.0,705.6818182,564.5454545,0,B,5,1,0,2 years,4,0
14.839,2.0,6.201818182,5,1,1.0,1.292307692,83.0,897.2727273,769.0909091,0,C,3,1,0,10+ years,0,0
13.545,3.0,4.181818182,9,0,0.0,58.9,8179.230769,611.5909091,564.5454545,0,C,3,2,0,2 years,2,0
12.001,6.0,3.747272727,8,1,0.0,56.12307692,7413.230769,831.25,665.0,0,B,3,1,0,2 years,0,0
6.0,6.0,20.64,17,0,0.0,76.70769231,17036.30769,737.1212121,631.8181818,0,A,3,0,1,1 year,4,0
14.33,6.0,7.298181818,12,0,0.0,66.0,4566.461538,871.8181818,747.2727273,0,C,3,0,0,9 years,0,0
11.997,4.0,18.52363636,6,0,0.0,66.18461538,10126.15385,598.2954545,552.2727273,0,C,3,2,0,,0,0
15.31,6.0,21.7,9,0,0.0,93.3,11015.0,778.4090909,622.7272727,0,C,3,0,1,10+ years,4,0
9.99,3.0,17.08181818,13,0,0.0,21.7,4829.0,748.4848485,690.9090909,0,B,5,0,1,10+ years,0,0
5.32,2.0,12.72272727,11,0,0.0,13.26923077,5718.0,1063.636364,850.9090909,0,A,3,0,0,10+ years,0,0
5.32,5.0,27.76363636,22,0,0.0,41.81538462,34169.69231,881.25,705.0,0,A,3,0,0,10+ years,4,0
12.49,11.0,15.12,18,0,0.0,32.49230769,10549.61538,680.1136364,544.0909091,0,B,3,0,2,10+ years,4,0
10.791,3.0,20.71636364,11,1,1.0,33.13846154,7067.846154,649.0909091,556.3636364,3,C,3,2,1,10+ years,0,0
17.27,7.0,27.33636364,23,0,0.0,63.8,42169.07692,856.25,685.0,0,C,5,2,0,10+ years,0,0
7.092,,5.94,6,0,0.0,51.57692308,17800.38462,892.0454545,713.6363636,2,A,3,0,0,10+ years,3,0
13.536,3.0,18.98181818,7,0,0.0,23.2,4044.0,741.4772727,593.1818182,0,C,3,2,1,3 years,4,1
6.633,2.0,18.36,8,0,0.0,16.98461538,10362.0,855.8333333,790.0,3,A,3,2,0,2 years,0,0
6.864,4.0,5.4,11,0,0.0,19.6,7784.0,651.4772727,601.3636364,3,A,3,0,1,6 years,0,0
12.683,4.0,31.93,16,0,0.0,16.38461538,4571.0,904.0909091,834.5454545,2,B,3,2,2,,0,0
11.421,12.0,37.5,21,0,0.0,63.96923077,16001.53846,679.5454545,627.2727273,0,C,3,1,1,10+ years,4,1
7.62,,14.02727273,9,0,0.0,15.57692308,1657.0,738.6363636,681.8181818,2,A,3,2,0,6 years,5,0
10.99,4.0,18.26,8,0,0.0,1.730769231,623.0769231,813.0681818,650.4545455,3,B,5,2,0,6 years,0,0
24.74,3.0,15.25090909,6,3,1.0,84.43076923,23506.0,585.0,540.0,3,E,3,1,1,7 years,0,0
11.53,2.0,9.73,8,0,0.0,50.8,9605.769231,680.1136364,544.0909091,3,B,3,1,1,< 1 year,4,0
11.49,5.0,13.03636364,8,0,0.0,80.42307692,16485.0,784.0909091,627.2727273,2,B,3,0,0,1 year,4,0
13.67,3.0,10.32727273,7,1,1.0,72.8,10296.92308,685.2272727,548.1818182,2,C,3,1,0,10+ years,0,0
18.25,5.0,29.36727273,8,1,1.0,69.23076923,5914.461538,761.3636364,609.0909091,0,D,5,2,0,2 years,2,1
25.608,5.0,27.24,10,0,0.0,57.72307692,15145.38462,845.0,780.0,4,F,5,2,1,3 years,12,0
7.832,3.0,26.95454545,14,0,0.0,28.0,14003.23077,995.4545455,796.3636364,1,A,3,0,0,< 1 year,4,0
12.49,6.0,40.66909091,18,0,0.0,34.06153846,11013.0,812.5,650.0,3,B,3,0,1,2 years,4,0
8.253,6.0,7.91,10,0,0.0,16.52307692,12781.0,922.7272727,790.9090909,0,B,5,0,0,7 years,4,0
13.99,10.0,15.3,16,0,0.0,50.67692308,12686.0,831.25,665.0,0,C,5,1,0,10+ years,4,0
17.82,4.0,26.31,6,0,0.0,62.86153846,14388.46154,920.4545455,736.3636364,0,C,3,0,0,10+ years,4,0
18.997,10.0,19.93909091,21,0,0.0,59.7,18035.07692,710.6060606,609.0909091,0,C,3,1,0,10+ years,1,0
6.39,5.0,12.78181818,23,0,0.0,56.86153846,33867.07692,785.4166667,725.0,0,A,3,2,0,10+ years,0,0
10.087,4.0,19.95,8,0,0.0,81.4,26648.46154,835.2272727,668.1818182,0,B,5,1,0,7 years,4,0
11.48,,14.84545455,10,0,0.0,45.87692308,21341.53846,922.7272727,790.9090909,0,B,3,2,1,2 years,0,1
15.906,11.0,24.21,14,0,0.0,82.5,31121.53846,747.5,690.0,0,C,3,0,0,4 years,0,1
15.22,3.0,31.15636364,9,0,0.0,23.90769231,2007.692308,809.5454545,747.2727273,0,C,3,2,0,5 years,2,0
14.616,6.0,23.57181818,9,0,0.0,55.38461538,7189.538462,644.3181818,552.2727273,0,C,3,1,2,4 years,0,0
12.089,2.0,12.02727273,3,0,0.0,93.90769231,3059.076923,639.5454545,548.1818182,0,B,3,0,1,4 years,4,0
6.03,4.0,9.47,12,0,0.0,18.41538462,9811.384615,730.2272727,625.9090909,0,A,3,0,1,4 years,0,0
16.425,8.0,17.21818182,11,1,1.0,74.76923077,14208.92308,846.3636364,725.4545455,0,D,5,1,1,10+ years,0,0
21.912,7.0,27.16,16,0,0.0,34.7,16011.69231,887.5,710.0,0,D,5,1,0,1 year,0,0
16.99,5.0,29.12727273,9,0,0.0,94.33846154,33602.15385,629.3181818,580.9090909,0,D,5,1,0,10+ years,4,0
10.076,2.0,15.18545455,6,1,0.0,42.46153846,4920.923077,770.0,660.0,0,B,3,1,0,10+ years,3,0
11.691,4.0,12.66,16,0,0.0,111.2307692,19853.53846,736.6666667,680.0,0,C,3,2,1,< 1 year,4,0
15.389,,28.39636364,10,0,0.0,86.36923077,24233.0,893.75,715.0,0,C,5,2,0,10+ years,4,0
17.919,4.0,21.00909091,8,0,0.0,63.2,17179.0,620.4545455,572.7272727,0,D,3,0,0,10+ years,7,0
13.882,12.0,21.10909091,27,0,0.0,62.3,26290.38462,913.6363636,730.9090909,0,C,3,2,1,,0,1
10.076,4.0,16.40727273,8,0,0.0,50.58461538,18228.0,827.2727273,763.6363636,0,B,5,1,1,10+ years,0,0
12.683,7.0,20.8,10,0,0.0,79.8,48169.69231,812.5,650.0,0,B,3,0,0,9 years,7,0
15.05,2.0,2.168181818,3,0,0.0,95.30769231,2349.230769,720.4166667,665.0,0,C,3,0,1,4 years,9,0
11.49,3.0,19.83,17,0,0.0,35.42307692,5351.076923,699.2424242,645.4545455,0,B,3,0,0,3 years,3,1
11.421,5.0,20.5,13,1,1.0,25.63076923,8232.692308,725.8333333,670.0,0,C,5,0,2,10+ years,4,0
5.852,1.0,2.145454545,10,0,0.0,39.6,28527.69231,782.3863636,625.9090909,0,A,3,1,0,6 years,2,0
20.31,10.0,10.33636364,16,0,0.0,62.58461538,20081.0,799.1666667,685.0,0,D,3,2,0,7 years,0,0
14.895,12.0,35.92,21,0,0.0,89.0,30394.15385,772.7272727,618.1818182,0,D,3,2,0,5 years,0,0
12.837,4.0,24.73636364,32,0,0.0,83.1,6443.076923,675.0,540.0,0,B,3,0,1,1 year,0,0
10.296,2.0,7.418181818,4,0,0.0,105.6923077,7269.230769,935.4545455,801.8181818,0,B,3,0,0,,0,0
7.89,11.0,23.78454545,28,0,0.0,36.46153846,21600.92308,731.8181818,627.2727273,0,A,3,0,1,10+ years,0,0
16.875,10.0,17.58545455,12,0,0.0,80.4,12382.15385,639.5454545,548.1818182,0,D,3,0,2,3 years,4,1
29.689,4.0,11.08181818,12,3,0.0,5.169230769,1842.461538,747.7272727,640.9090909,0,F,5,1,1,2 years,0,0
7.803,12.0,19.75636364,19,1,1.0,60.0,18312.0,787.5,675.0,0,B,3,2,0,8 years,4,0
13.014,6.0,13.76181818,8,0,0.0,79.2,17975.07692,752.9166667,695.0,3,C,5,2,1,10+ years,4,0
14.663,9.0,20.99090909,12,0,0.0,91.96153846,32205.23077,897.2727273,769.0909091,3,C,3,1,1,8 years,0,0
9.891,6.0,5.518181818,15,0,0.0,30.18461538,31037.53846,638.1818182,589.0909091,3,B,3,1,0,8 years,0,0
13.739,12.0,23.85818182,16,0,0.0,57.3,13065.23077,934.0909091,747.2727273,1,B,3,0,1,10+ years,0,0
24.99,1.0,11.11,5,1,1.0,0.9,69.23076923,750.0,600.0,0,E,5,1,1,2 years,3,1
21.109,2.0,21.54545455,4,0,0.0,29.18461538,3736.0,629.3181818,580.9090909,0,E,5,1,1,1 year,0,1
12.12,,19.25454545,6,0,0.0,44.53846154,4941.923077,710.7954545,568.6363636,2,B,3,0,1,9 years,2,0
14.96,,26.31272727,12,0,0.0,58.15384615,14540.61538,593.8636364,548.1818182,3,D,3,0,1,10+ years,0,0
21.06,4.0,25.44,11,0,0.0,63.5,24582.0,845.8333333,725.0,0,E,3,0,0,< 1 year,2,1
17.09,12.0,13.6,14,1,0.0,31.15384615,5147.692308,705.6818182,564.5454545,1,D,3,1,0,10+ years,4,0
7.35,2.0,11.05,3,0,0.0,19.8,1545.0,795.4545455,681.8181818,0,A,3,1,2,10+ years,0,0
15.763,4.0,7.243636364,5,0,0.0,76.33846154,12600.0,758.3333333,650.0,0,C,3,2,1,10+ years,0,1
13.849,10.0,27.04,14,0,0.0,64.18461538,23666.46154,900.0,720.0,3,C,3,0,0,7 years,0,0
16.555,6.0,26.24,10,0,0.0,21.69230769,9523.0,975.0,780.0,0,C,5,1,1,3 years,0,1
14.688,,16.93,20,0,0.0,67.93846154,38189.0,634.7727273,544.0909091,5,E,5,2,1,3 years,0,0
18.06,1.0,18.22909091,7,0,0.0,28.86153846,4893.461538,954.5454545,818.1818182,0,D,3,0,0,1 year,3,0
