total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,post_code,region,debt_loan_ratio,app_type,isDefault
18590.90909,5,19.99,541.69,E,普通企业,建筑业,5 years,1,0,249,36,21.66545455,0,0
3636.363636,3,13.185,137.98,C,普通企业,交通运输、仓储和邮政业,10+ years,1,0,550,8,29.27,0,0
27409.09091,5,12.591,779.32,C,世界五百强,批发和零售业,10+ years,0,0,29,19,15.85,0,1
3220.454545,3,10.791,90.5,B,普通企业,信息传输、软件和信息技术服务业,3 years,0,0,413,37,10.68181818,0,0
30000.0,3,5.841,903.31,A,幼教与中小学校,建筑业,10+ years,0,0,54,28,26.47,0,0
24818.18182,3,14.391,738.2,C,普通企业,房地产业,10+ years,0,0,36,13,15.24,0,0
35454.54545,5,13.49,690.15,C,政府机构,文化和体育业,8 years,0,3,340,14,11.41,0,0
8727.272727,3,10.076,255.0,B,普通企业,金融业,10+ years,0,2,345,20,20.98636364,0,0
8181.818182,3,8.239,311.02,A,世界五百强,交通运输、仓储和邮政业,10+ years,2,0,818,43,15.38181818,0,0
15709.09091,3,11.691,646.84,C,政府机构,电力、热力生产供应业,4 years,1,3,715,13,20.81454545,0,0
22909.09091,5,17.171,506.34,D,上市企业,文化和体育业,10+ years,0,0,235,8,1.75,0,0
28363.63636,5,19.327,603.85,D,普通企业,批发和零售业,< 1 year,0,0,451,36,12.96,0,0
27272.72727,3,12.88,840.91,C,高等教育机构,信息传输、软件和信息技术服务业,10+ years,0,0,405,2,11.34545455,0,0
11345.45455,3,13.33,324.99,C,普通企业,金融业,10+ years,1,0,189,9,14.95454545,0,0
16363.63636,5,16.77,494.59,D,普通企业,农、林、牧、渔业,5 years,0,0,499,13,23.04,0,0
20454.54545,3,8.69,782.26,A,政府机构,信息传输、软件和信息技术服务业,9 years,0,0,63,14,9.59,0,0
27181.81818,3,11.061,767.12,C,世界五百强,信息传输、软件和信息技术服务业,10+ years,0,4,43,19,5.94,0,0
4090.909091,3,10.087,143.46,B,普通企业,住宿和餐饮业,< 1 year,1,0,267,27,10.36,0,0
6545.454545,3,7.89,250.29,A,普通企业,公共服务、社会组织,2 years,1,2,167,8,10.91818182,0,0
20945.45455,3,5.841,588.38,A,上市企业,电力、热力生产供应业,10+ years,0,0,812,14,8.64,0,0
5454.545455,3,15.378,205.01,C,幼教与中小学校,信息传输、软件和信息技术服务业,< 1 year,0,0,72,10,22.01454545,0,1
21272.72727,5,16.416,497.73,D,普通企业,住宿和餐饮业,10+ years,0,0,475,37,13.55727273,0,0
11818.18182,3,11.754,438.4,C,政府机构,公共服务、社会组织,,0,0,157,8,18.40909091,1,0
15363.63636,3,5.852,391.5,A,政府机构,电力、热力生产供应业,10+ years,0,2,230,2,9.973636364,0,0
10000.0,3,17.919,353.01,C,政府机构,公共服务、社会组织,10+ years,0,0,162,2,11.42727273,0,0
8181.818182,3,12.681,342.22,B,政府机构,公共服务、社会组织,1 year,0,12,369,21,13.03636364,0,0
10909.09091,3,12.897,412.06,C,普通企业,文化和体育业,10+ years,1,4,120,21,15.16,0,0
15454.54545,5,24.99,498.88,F,政府机构,金融业,5 years,0,0,307,14,3.829090909,0,0
24000.0,5,14.839,358.3,C,政府机构,金融业,9 years,0,2,246,36,18.74,0,0
10000.0,3,10.791,365.31,B,普通企业,文化和体育业,< 1 year,1,0,79,2,21.73909091,0,0
21436.36364,3,10.791,652.57,B,普通企业,信息传输、软件和信息技术服务业,3 years,1,0,184,26,19.53636364,0,0
11200.0,3,7.9,350.46,A,高等教育机构,信息传输、软件和信息技术服务业,7 years,0,0,46,27,20.24545455,0,0
2100.0,3,11.44,69.19,B,普通企业,信息传输、软件和信息技术服务业,10+ years,0,5,124,13,7.79,0,1
9218.181818,3,16.99,301.23,D,普通企业,文化和体育业,,1,0,232,13,12.61636364,0,1
8181.818182,3,7.371,314.25,A,世界五百强,文化和体育业,10+ years,1,0,111,8,15.74,0,1
4581.818182,3,13.519,140.09,C,普通企业,公共服务、社会组织,10+ years,1,3,590,8,8.427272727,0,0
21272.72727,5,11.421,406.71,C,政府机构,电力、热力生产供应业,10+ years,0,4,92,18,8.854545455,0,0
10400.0,5,19.338,261.73,D,上市企业,电力、热力生产供应业,10+ years,1,1,143,8,8.93,0,1
9818.181818,5,13.545,285.8,C,高等教育机构,文化和体育业,,2,3,45,21,2.438181818,0,1
9454.545455,3,12.99,269.52,B,世界五百强,金融业,8 years,1,0,261,8,18.72,0,0
7500.0,3,17.919,264.76,C,幼教与中小学校,电力、热力生产供应业,10+ years,1,4,313,43,11.97818182,0,1
10000.0,3,14.421,337.47,B,普通企业,文化和体育业,6 years,1,11,187,9,20.11090909,0,0
32727.27273,3,9.75,964.5,B,上市企业,金融业,10+ years,0,4,52,19,26.10545455,0,1
10909.09091,3,12.69,335.45,C,普通企业,文化和体育业,7 years,1,0,111,8,9.087272727,0,0
20454.54545,3,8.789,783.3,A,政府机构,批发和零售业,10+ years,1,0,107,30,22.57363636,0,0
10636.36364,3,5.32,271.04,A,政府机构,电力、热力生产供应业,10+ years,0,4,460,27,9.196363636,0,0
31818.18182,5,24.695,975.64,F,普通企业,交通运输、仓储和邮政业,10+ years,2,0,291,23,35.74545455,0,1
2545.454545,3,18.689,99.82,D,幼教与中小学校,金融业,9 years,1,7,134,8,20.50909091,0,0
35000.0,5,18.854,872.48,D,上市企业,批发和零售业,10+ years,1,0,466,36,11.15181818,0,0
27500.0,5,12.089,597.78,B,上市企业,公共服务、社会组织,3 years,0,2,90,21,2.7,0,0
12272.72727,5,13.67,346.47,C,政府机构,公共服务、社会组织,10+ years,0,0,404,22,6.316363636,0,1
2863.636364,3,11.421,117.41,B,幼教与中小学校,文化和体育业,3 years,1,1,19,14,8.1,0,0
14545.45455,3,15.389,546.77,C,幼教与中小学校,农、林、牧、渔业,10+ years,1,0,107,30,19.82181818,0,0
18181.81818,3,8.541,640.57,B,政府机构,电力、热力生产供应业,9 years,0,4,677,13,17.33,0,0
10909.09091,3,17.99,361.48,D,幼教与中小学校,金融业,< 1 year,1,4,343,27,12.01090909,0,0
32727.27273,3,12.582,1025.04,C,普通企业,采矿业,3 years,0,4,777,8,8.312727273,0,0
35781.81818,3,23.298,1238.78,E,普通企业,住宿和餐饮业,10+ years,0,0,42,26,15.16,0,0
4545.454545,3,12.639,164.86,B,普通企业,房地产业,8 years,0,0,32,21,20.39090909,0,0
35000.0,3,17.171,1223.77,D,上市企业,采矿业,8 years,0,4,104,23,6.785454545,0,1
21818.18182,5,10.736,422.59,B,政府机构,交通运输、仓储和邮政业,1 year,2,0,245,26,14.67272727,0,0
13090.90909,3,12.74,402.83,C,普通企业,采矿业,< 1 year,1,0,466,36,14.93181818,0,0
7700.0,3,12.089,252.06,B,政府机构,制造业,< 1 year,1,4,66,14,12.92,0,0
25909.09091,5,20.064,727.44,D,普通企业,房地产业,10+ years,2,0,614,3,24.98181818,0,0
20000.0,3,10.99,654.68,B,政府机构,住宿和餐饮业,10+ years,0,5,51,13,3.829090909,0,0
8400.0,3,13.779,292.47,C,上市企业,金融业,10+ years,1,4,379,32,33.65454545,0,1
10000.0,3,9.135,323.38,B,普通企业,交通运输、仓储和邮政业,9 years,0,0,146,23,26.41,0,1
9090.909091,3,10.087,318.79,B,幼教与中小学校,建筑业,3 years,0,4,629,20,15.86,0,0
9454.545455,5,13.44,238.99,C,政府机构,农、林、牧、渔业,2 years,2,5,17,13,12.88363636,0,0
11818.18182,3,16.555,346.9,C,普通企业,住宿和餐饮业,10+ years,1,0,141,13,10.60363636,0,1
6000.0,3,14.661,194.16,C,政府机构,建筑业,1 year,0,5,342,21,9.703636364,0,1
21818.18182,3,6.633,608.72,A,上市企业,金融业,2 years,0,0,119,0,21.9,0,0
23000.0,3,10.026,754.52,B,普通企业,公共服务、社会组织,3 years,0,4,57,9,2.560909091,0,1
23090.90909,3,7.26,787.31,A,世界五百强,公共服务、社会组织,6 years,1,0,17,13,9.84,0,0
22909.09091,3,7.667,864.18,A,普通企业,建筑业,10+ years,0,4,62,13,28.86363636,0,0
27190.90909,3,10.503,823.95,B,政府机构,制造业,< 1 year,1,4,390,38,12.52727273,0,0
21818.18182,5,18.04,490.63,E,普通企业,住宿和餐饮业,7 years,0,0,800,1,11.99090909,0,0
17454.54545,3,5.616,488.5,A,普通企业,文化和体育业,< 1 year,0,4,221,8,7.06,0,0
15409.09091,5,18.205,347.64,D,世界五百强,金融业,< 1 year,0,4,184,26,30.82727273,0,0
9600.0,3,16.99,342.22,D,政府机构,金融业,2 years,1,5,380,26,23.80909091,0,0
4909.090909,3,5.32,180.69,A,普通企业,金融业,8 years,0,2,290,18,7.57,0,0
4909.090909,3,8.253,191.28,B,普通企业,电力、热力生产供应业,10+ years,0,4,617,9,8.860909091,0,0
23181.81818,5,16.99,528.01,D,上市企业,金融业,2 years,2,2,84,19,15.95454545,0,0
5672.727273,3,11.997,162.5,C,普通企业,采矿业,2 years,1,5,261,8,17.80363636,0,0
13636.36364,3,7.551,472.75,B,普通企业,金融业,,0,0,4,3,10.68,0,0
34909.09091,3,13.959,1073.44,C,普通企业,建筑业,10+ years,0,0,91,7,11.95636364,0,0
13236.36364,3,5.841,343.22,A,普通企业,电力、热力生产供应业,10+ years,0,1,380,26,15.99545455,0,0
13000.0,3,11.165,420.39,B,政府机构,公共服务、社会组织,3 years,1,0,124,13,12.80454545,0,0
16000.0,5,10.07,340.51,B,普通企业,文化和体育业,10+ years,0,2,560,44,10.91818182,0,0
4909.090909,3,7.101,168.95,A,政府机构,房地产业,7 years,0,0,441,9,24.29,0,0
24545.45455,5,18.205,738.34,D,普通企业,金融业,10+ years,0,0,36,13,25.61727273,0,0
15272.72727,5,20.405,431.66,E,世界五百强,批发和零售业,7 years,2,2,36,13,21.78,0,0
20000.0,3,13.98,683.36,C,普通企业,金融业,9 years,0,0,31,2,26.04272727,0,0
5318.181818,3,15.99,158.19,C,普通企业,建筑业,10+ years,1,5,205,8,21.99,0,1
12272.72727,3,7.9,469.36,A,政府机构,公共服务、社会组织,5 years,1,0,263,0,21.69818182,0,0
20681.81818,5,21.472,458.99,E,普通企业,房地产业,2 years,1,4,418,45,13.77,0,1
20454.54545,5,14.99,594.62,C,普通企业,金融业,< 1 year,0,0,218,0,12.06363636,0,0
9454.545455,3,16.99,370.74,D,普通企业,房地产业,2 years,0,2,104,23,30.20727273,0,1
7200.0,3,12.617,237.33,B,政府机构,电力、热力生产供应业,3 years,0,4,686,37,26.36727273,0,0
4284.090909,3,16.875,132.43,D,政府机构,金融业,10+ years,0,4,434,2,13.84363636,0,0
16363.63636,5,15.61,482.23,C,普通企业,制造业,< 1 year,0,4,19,14,11.34545455,0,0
19090.90909,3,14.661,741.31,D,普通企业,住宿和餐饮业,4 years,0,0,64,14,17.17363636,0,0
11818.18182,3,6.92,400.93,A,上市企业,金融业,< 1 year,1,0,289,16,14.74363636,0,0
15000.0,5,16.99,372.71,D,普通企业,金融业,9 years,2,2,244,14,15.6,0,0
15000.0,3,8.496,480.08,B,上市企业,建筑业,10+ years,0,5,4,3,27.09090909,0,0
9900.0,3,18.75,361.65,D,普通企业,金融业,,0,2,215,8,20.01818182,0,1
28636.36364,5,25.506,1096.95,G,政府机构,建筑业,10+ years,0,0,465,19,12.12545455,0,1
15709.09091,5,15.99,466.81,C,世界五百强,电力、热力生产供应业,1 year,0,0,162,2,29.79090909,0,1
15545.45455,3,15.389,649.29,C,普通企业,住宿和餐饮业,,1,0,619,11,20.8,0,1
2727.272727,3,18.24,108.82,D,世界五百强,金融业,2 years,1,10,221,8,17.60909091,0,0
10500.0,3,22.825,394.25,E,政府机构,房地产业,10+ years,0,2,750,2,11.03,0,0
23163.63636,5,17.568,514.06,E,上市企业,文化和体育业,10+ years,0,0,237,32,25.55,0,1
8272.727273,3,11.44,230.64,B,政府机构,公共服务、社会组织,< 1 year,1,0,72,10,12.88,0,0
12000.0,3,12.837,396.69,B,政府机构,住宿和餐饮业,1 year,1,4,4,3,18.41454545,0,0
9927.272727,3,12.617,276.88,B,上市企业,电力、热力生产供应业,9 years,0,2,512,21,34.17,0,0
8590.909091,3,16.797,274.04,C,上市企业,文化和体育业,3 years,1,0,136,8,21.99090909,0,0
1500.0,3,7.91,46.95,A,普通企业,住宿和餐饮业,10+ years,0,2,31,2,0.785454545,0,0
7272.727273,3,9.99,258.1,B,幼教与中小学校,电力、热力生产供应业,10+ years,0,0,213,3,13.19727273,0,0
9090.909091,3,10.99,327.34,B,上市企业,建筑业,10+ years,2,0,224,3,12.26454545,0,0
21818.18182,3,8.19,628.49,A,普通企业,农、林、牧、渔业,3 years,1,0,202,27,7.767272727,0,0
21272.72727,5,8.991,382.36,B,普通企业,采矿业,2 years,0,4,61,31,21.66,0,0
4254.545455,3,14.839,122.15,C,幼教与中小学校,电力、热力生产供应业,10+ years,0,0,215,8,6.201818182,0,0
17454.54545,3,13.545,555.04,C,上市企业,房地产业,2 years,0,2,104,23,4.181818182,0,0
12727.27273,3,12.001,457.75,B,普通企业,农、林、牧、渔业,2 years,0,0,165,17,3.747272727,0,0
9090.909091,3,6.0,308.23,A,普通企业,公共服务、社会组织,1 year,1,4,731,0,20.64,0,0
10363.63636,3,14.33,326.22,C,普通企业,文化和体育业,9 years,0,0,435,36,7.298181818,0,0
12727.27273,3,11.997,473.95,C,普通企业,采矿业,,0,0,176,3,18.52363636,0,0
13090.90909,3,15.31,417.81,C,普通企业,批发和零售业,10+ years,1,4,612,7,21.7,0,0
22159.09091,5,9.99,517.78,B,幼教与中小学校,农、林、牧、渔业,10+ years,1,0,172,13,17.08181818,0,0
9200.0,3,5.32,277.06,A,普通企业,农、林、牧、渔业,10+ years,0,0,480,8,12.72272727,0,0
7090.909091,3,5.32,180.69,A,政府机构,住宿和餐饮业,10+ years,0,4,431,20,27.76363636,0,0
8272.727273,3,12.49,234.15,B,幼教与中小学校,住宿和餐饮业,10+ years,2,4,480,8,15.12,0,0
11818.18182,3,10.791,332.1,C,幼教与中小学校,电力、热力生产供应业,10+ years,1,0,108,21,20.71636364,0,0
27000.0,5,17.27,824.94,C,普通企业,农、林、牧、渔业,10+ years,0,0,186,9,27.33636364,0,0
12272.72727,3,7.092,469.21,A,普通企业,金融业,10+ years,0,3,165,17,5.94,0,0
18909.09091,3,13.536,554.96,C,普通企业,信息传输、软件和信息技术服务业,3 years,1,4,629,20,18.98181818,0,1
19545.45455,3,6.633,654.37,A,普通企业,文化和体育业,2 years,0,0,629,20,18.36,0,0
9090.909091,3,6.864,305.31,A,世界五百强,公共服务、社会组织,6 years,1,0,480,8,5.4,0,0
3000.0,3,12.683,98.98,B,普通企业,金融业,,2,0,751,16,31.93,0,0
13636.36364,3,11.421,503.18,C,世界五百强,制造业,10+ years,1,4,230,2,37.5,0,1
25675.0,3,7.62,676.99,A,普通企业,电力、热力生产供应业,6 years,0,5,539,42,14.02727273,0,0
27050.0,5,10.99,588.0,B,高等教育机构,金融业,6 years,0,0,172,13,18.26,0,0
20000.0,3,24.74,792.45,E,上市企业,电力、热力生产供应业,7 years,1,0,300,9,15.25090909,0,0
9090.909091,3,11.53,329.91,B,世界五百强,采矿业,< 1 year,1,4,185,3,9.73,0,0
6000.0,3,11.49,197.83,B,普通企业,住宿和餐饮业,1 year,0,4,304,8,13.03636364,0,0
21272.72727,3,13.67,612.32,C,普通企业,交通运输、仓储和邮政业,10+ years,0,0,245,26,10.32727273,0,0
16909.09091,5,18.25,474.86,D,政府机构,金融业,2 years,0,2,542,14,29.36727273,0,1
13438.63636,5,25.608,465.68,F,普通企业,电力、热力生产供应业,3 years,1,12,736,31,27.24,0,0
14890.90909,3,7.832,389.75,A,政府机构,金融业,< 1 year,0,4,19,14,26.95454545,0,0
4200.0,3,12.49,140.49,B,世界五百强,金融业,2 years,1,4,139,8,40.66909091,0,0
20000.0,5,8.253,458.51,B,政府机构,电力、热力生产供应业,7 years,0,4,162,2,7.91,0,0
17727.27273,5,13.99,348.95,C,普通企业,公共服务、社会组织,10+ years,0,4,76,26,15.3,0,0
15000.0,3,17.82,528.84,C,普通企业,公共服务、社会组织,10+ years,0,4,512,21,26.31,0,0
11345.45455,3,18.997,343.56,C,世界五百强,住宿和餐饮业,10+ years,0,1,545,19,19.93909091,0,0
20568.18182,3,6.39,692.31,A,普通企业,住宿和餐饮业,10+ years,0,0,73,23,12.78181818,0,0
18181.81818,5,10.087,416.82,B,政府机构,建筑业,7 years,0,4,310,24,19.95,0,0
11515.90909,3,11.48,464.04,B,普通企业,公共服务、社会组织,2 years,1,0,491,30,14.84545455,0,1
24981.81818,3,15.906,787.8,C,普通企业,金融业,4 years,0,0,143,8,24.21,0,1
8213.636364,3,15.22,241.68,C,普通企业,住宿和餐饮业,5 years,0,2,484,21,31.15636364,0,0
15272.72727,3,14.616,493.86,C,普通企业,文化和体育业,4 years,2,0,47,17,23.57181818,0,0
10150.0,3,12.089,332.25,B,政府机构,信息传输、软件和信息技术服务业,4 years,1,4,131,6,12.02727273,0,0
11675.0,3,6.03,355.34,A,政府机构,信息传输、软件和信息技术服务业,4 years,1,0,390,13,9.47,0,0
26529.54545,5,16.425,827.8,D,上市企业,住宿和餐饮业,10+ years,1,0,297,18,17.21818182,0,0
43636.36364,5,21.912,1057.98,D,政府机构,公共服务、社会组织,1 year,0,0,75,33,27.16,1,0
23427.27273,5,16.99,533.6,D,幼教与中小学校,金融业,10+ years,0,4,500,27,29.12727273,0,0
9818.181818,3,10.076,286.87,B,普通企业,农、林、牧、渔业,10+ years,0,3,204,24,15.18545455,0,0
21818.18182,3,11.691,673.79,C,政府机构,公共服务、社会组织,< 1 year,1,4,277,8,12.66,0,0
17454.54545,5,15.389,372.21,C,上市企业,农、林、牧、渔业,10+ years,0,4,553,27,28.39636364,0,0
8727.272727,3,17.919,282.41,D,世界五百强,房地产业,10+ years,0,7,139,8,21.00909091,0,0
11818.18182,3,13.882,335.12,C,普通企业,交通运输、仓储和邮政业,,1,0,141,13,21.10909091,0,1
24000.0,5,10.076,500.07,B,普通企业,电力、热力生产供应业,10+ years,1,0,216,8,16.40727273,0,0
5454.545455,3,12.683,164.96,B,高等教育机构,电力、热力生产供应业,9 years,0,7,447,30,20.8,0,0
5454.545455,3,15.05,173.45,C,幼教与中小学校,采矿业,4 years,1,9,547,46,2.168181818,0,0
7975.0,3,11.49,262.95,B,普通企业,金融业,3 years,0,3,4,3,19.83,0,1
20945.45455,5,11.421,433.82,C,幼教与中小学校,电力、热力生产供应业,10+ years,2,4,97,12,20.5,0,0
27272.72727,3,5.852,903.45,A,政府机构,电力、热力生产供应业,6 years,0,2,203,30,2.145454545,0,0
28800.0,3,20.31,1074.87,D,政府机构,建筑业,7 years,0,0,64,14,10.33636364,0,0
10909.09091,3,14.895,425.16,D,普通企业,金融业,5 years,0,0,535,17,35.92,0,0
5890.909091,3,12.837,238.01,B,世界五百强,住宿和餐饮业,1 year,1,0,490,44,24.73636364,0,0
7272.727273,3,10.296,263.58,B,普通企业,金融业,,0,0,240,21,7.418181818,0,0
13000.0,3,7.89,406.72,A,普通企业,电力、热力生产供应业,10+ years,1,0,134,8,23.78454545,0,0
8000.0,3,16.875,292.24,D,幼教与中小学校,制造业,3 years,2,4,251,8,17.58545455,0,1
32025.0,5,29.689,977.71,F,幼教与中小学校,住宿和餐饮业,2 years,1,0,205,8,11.08181818,0,0
7854.545455,3,7.803,303.81,B,政府机构,电力、热力生产供应业,8 years,0,4,671,13,19.75636364,0,0
23000.0,5,13.014,540.68,C,世界五百强,建筑业,10+ years,1,4,56,8,13.76181818,0,0
21522.72727,3,14.663,801.48,C,普通企业,公共服务、社会组织,8 years,1,0,143,8,20.99090909,0,0
15272.72727,3,9.891,458.28,B,上市企业,住宿和餐饮业,8 years,0,0,242,8,5.518181818,0,0
8272.727273,3,13.739,234.15,B,政府机构,文化和体育业,10+ years,1,0,143,8,23.85818182,0,0
15431.81818,5,24.99,498.14,E,世界五百强,电力、热力生产供应业,2 years,1,3,365,19,11.11,0,1
20681.81818,5,21.109,455.8,E,上市企业,文化和体育业,1 year,1,0,195,38,21.54545455,0,1
4363.636364,3,12.12,133.09,B,政府机构,农、林、牧、渔业,9 years,1,2,25,13,19.25454545,0,0
16250.0,3,14.96,476.39,D,普通企业,住宿和餐饮业,10+ years,1,0,391,0,26.31272727,0,0
8181.818182,3,21.06,389.19,E,政府机构,建筑业,< 1 year,0,2,0,0,25.44,0,1
8597.727273,3,17.09,259.7,D,普通企业,金融业,10+ years,0,4,841,42,13.6,0,0
5072.727273,3,7.35,192.44,A,政府机构,制造业,10+ years,2,0,840,22,11.05,0,0
10909.09091,3,15.763,412.06,C,政府机构,信息传输、软件和信息技术服务业,10+ years,1,0,143,8,7.243636364,0,1
21818.18182,3,13.849,803.93,C,普通企业,电力、热力生产供应业,7 years,0,0,418,45,27.04,0,0
14181.81818,5,16.555,285.8,C,政府机构,金融业,3 years,1,0,127,13,26.24,0,1
13472.72727,5,14.688,279.17,E,普通企业,制造业,3 years,1,0,57,9,16.93,0,0
1363.636364,3,18.06,54.28,D,政府机构,电力、热力生产供应业,1 year,0,3,375,2,18.22909091,0,0
10000.0,3,9.79,349.29,A,普通企业,公共服务、社会组织,10+ years,1,4,852,41,20.44363636,0,0
9818.181818,3,10.377,296.92,B,幼教与中小学校,建筑业,3 years,1,5,286,16,17.32909091,0,0
22909.09091,5,12.87,655.88,C,普通企业,文化和体育业,10+ years,0,0,178,23,5.94,0,0
4545.454545,3,7.362,157.1,B,幼教与中小学校,农、林、牧、渔业,2 years,1,0,51,13,4.434545455,0,0
14127.27273,5,20.99,350.27,E,幼教与中小学校,公共服务、社会组织,10+ years,0,0,404,22,14.72727273,0,1
12113.63636,3,13.032,352.72,C,上市企业,文化和体育业,< 1 year,1,4,4,3,34.34545455,0,0
17454.54545,5,11.151,359.08,C,普通企业,交通运输、仓储和邮政业,7 years,0,0,247,32,10.1,0,0
1636.363636,3,15.73,68.65,C,普通企业,交通运输、仓储和邮政业,6 years,0,0,238,22,9.163636364,0,0
8181.818182,3,10.251,329.24,B,普通企业,交通运输、仓储和邮政业,6 years,1,4,359,43,32.95636364,0,0
29645.45455,3,16.875,992.7,D,幼教与中小学校,建筑业,4 years,0,4,36,13,23.44909091,0,0
15000.0,3,10.377,494.86,B,幼教与中小学校,房地产业,8 years,0,0,195,38,13.27909091,0,1
23636.36364,3,7.21,619.47,A,普通企业,公共服务、社会组织,,1,0,157,8,12.17,0,0
25090.90909,3,10.42,746.69,B,政府机构,文化和体育业,2 years,0,0,27,12,12.90545455,0,0
19027.27273,3,12.303,547.69,C,普通企业,公共服务、社会组织,,1,4,17,13,35.44,1,0
11020.45455,3,21.472,344.28,E,普通企业,农、林、牧、渔业,< 1 year,1,0,504,11,13.71,0,0
19090.90909,3,7.9,657.1,A,政府机构,金融业,2 years,1,0,266,31,24.0,0,0
41363.63636,3,20.889,1282.79,D,政府机构,公共服务、社会组织,6 years,0,0,152,14,16.60363636,0,0
2272.727273,3,19.99,92.9,E,政府机构,农、林、牧、渔业,,1,10,193,13,1.35,0,0
20727.27273,5,13.18,434.07,C,政府机构,采矿业,10+ years,0,0,397,35,12.39090909,0,0
12272.72727,3,8.18,471.3,B,政府机构,采矿业,10+ years,0,0,228,24,12.3,0,0
17454.54545,3,9.945,524.2,B,上市企业,公共服务、社会组织,10+ years,1,2,31,2,16.73636364,0,0
17000.0,3,9.891,556.48,B,普通企业,信息传输、软件和信息技术服务业,10+ years,1,4,697,39,21.42818182,0,0
30545.45455,5,19.789,710.87,D,高等教育机构,公共服务、社会组织,2 years,0,4,89,3,27.50181818,0,0
8181.818182,3,11.49,329.72,B,普通企业,金融业,10+ years,0,4,80,21,20.16363636,0,1
24545.45455,3,15.389,1025.19,C,普通企业,采矿业,10+ years,1,2,89,3,8.618181818,0,1
22340.90909,3,20.339,894.5,D,普通企业,交通运输、仓储和邮政业,10+ years,1,0,497,8,23.91818182,0,1
15363.63636,5,12.204,299.53,C,幼教与中小学校,房地产业,10+ years,0,0,297,18,14.72727273,0,0
3600.0,3,15.59,115.36,D,普通企业,金融业,,1,3,213,3,12.91818182,0,0
10909.09091,3,9.79,317.54,A,政府机构,金融业,10+ years,1,1,54,28,16.35545455,0,0
30254.54545,3,14.99,887.31,C,政府机构,信息传输、软件和信息技术服务业,10+ years,0,0,214,41,42.80727273,0,0
13950.0,5,23.298,378.81,E,普通企业,交通运输、仓储和邮政业,< 1 year,0,0,330,21,17.67,0,1
2181.818182,3,11.241,66.9,B,普通企业,信息传输、软件和信息技术服务业,2 years,0,0,228,24,21.96818182,0,0
13636.36364,3,7.614,473.24,A,普通企业,电力、热力生产供应业,10+ years,2,5,4,3,30.30545455,0,0
10872.72727,3,13.023,316.54,C,普通企业,采矿业,10+ years,0,0,194,38,15.68181818,0,0
