total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
23.68,3,74.01,24.56,5,3,2,0,0,0,1.31,0,13.79,1.64,31.51,0,0,0.0,1
8.02,3,55.76,11.14,5,0,13,1,0,5,2.01,0,29.31,1.79,38.3,0,0,0.0,1
5.99,3,28.79,8.24,3,4,0,11,1,5,0.19,0,1.72,0.71,71.38,0,3,8.64,0
35.16,3,18.18,35.04,2,4,7,10,1,4,1.88,1,20.69,3.53,43.69,0,0,9.99,0
69.47,3,22.13,61.5,2,4,13,9,0,4,2.68,0,20.69,5.71,72.95,0,0,0.0,1
16.83,3,31.68,19.98,3,4,2,8,1,0,4.5,0,15.52,0.59,23.25,1,3,24.06,0
58.51,3,14.45,57.64,2,3,6,3,0,0,2.44,0,20.69,3.88,34.38,0,1,48.58,0
5.28,3,30.38,4.86,3,4,1,8,2,4,0.51,0,24.14,2.22,41.45,0,0,0.0,1
23.68,3,23.67,20.8,2,4,4,5,1,4,1.13,0,8.62,1.61,72.86,0,0,0.0,1
5.99,3,61.8,6.34,5,3,13,8,1,0,1.1,1,13.79,1.88,47.45,0,3,0.74,0
23.6,5,39.58,21.11,3,4,10,3,1,3,1.85,0,20.69,1.11,33.29,0,1,12.54,0
12.49,3,20.59,10.56,3,4,3,4,1,0,1.39,0,20.69,0.48,45.6,0,0,0.0,1
47.55,5,27.71,42.45,3,4,10,1,0,0,0.59,0,13.79,3.73,54.11,0,0,0.0,0
17.81,5,58.87,16.67,5,3,5,5,2,0,1.36,0,8.62,0.69,80.36,0,0,0.0,0
71.06,5,44.32,30.05,5,4,1,4,0,1,1.81,1,12.07,8.6,66.68,0,3,38.3,0
23.68,3,15.5,19.35,1,4,8,1,0,4,0.84,0,20.69,1.24,37.98,0,2,13.88,0
11.15,3,23.67,11.65,2,2,11,1,0,2,1.74,0,6.9,0.9,31.07,0,0,0.0,0
8.41,3,22.98,6.89,2,1,3,0,1,5,2.15,0,20.69,1.88,54.34,0,0,0.0,1
11.51,3,31.17,10.78,3,1,10,6,0,0,1.55,0,25.86,0.76,18.16,0,2,5.56,1
51.08,3,29.83,60.11,3,2,7,10,0,0,2.15,3,18.97,1.67,47.53,0,0,0.0,1
80.43,5,25.17,50.93,2,3,11,4,0,0,0.47,0,12.07,0.83,22.73,0,0,0.0,1
47.55,5,34.97,43.13,3,3,11,0,1,0,2.38,0,18.97,2.11,79.5,0,0,0.0,1
13.69,3,33.02,11.85,2,5,11,6,1,0,2.2,0,18.97,0.57,23.88,0,2,7.46,1
29.55,3,5.0,31.09,1,3,11,7,1,0,1.05,0,22.41,2.79,36.48,0,3,7.09,0
29.55,3,24.7,34.0,2,3,10,1,0,0,1.96,0,20.69,1.82,69.64,0,0,5.05,0
19.37,3,18.14,17.4,2,4,4,1,0,3,1.52,0,8.62,0.63,35.2,0,0,0.0,0
23.6,3,6.5,20.26,1,4,9,1,0,4,1.45,0,22.41,3.27,37.95,0,3,13.08,0
2.47,3,26.75,3.39,3,5,0,4,0,5,1.58,0,13.79,0.52,41.96,0,0,0.0,0
24.66,5,31.44,20.94,3,4,8,1,1,4,1.16,0,24.14,1.36,36.07,0,0,0.0,1
33.86,3,6.41,27.44,1,2,3,8,0,2,2.52,0,13.79,0.26,20.89,0,0,0.0,1
24.07,3,49.82,27.2,4,0,11,8,0,4,2.2,0,8.62,2.11,55.63,0,0,0.0,0
21.72,3,37.79,22.32,4,4,9,6,0,0,1.59,0,15.52,1.37,59.69,0,0,0.0,1
4.11,3,51.17,5.47,4,4,11,1,1,5,1.32,0,15.52,1.34,61.19,0,3,4.34,0
27.59,3,45.0,33.87,3,0,1,5,2,0,2.28,0,41.38,1.99,36.51,0,0,10.8,0
18.69,3,11.9,18.49,2,3,0,0,1,7,1.14,0,17.24,0.0,0.0,0,0,0.0,1
13.5,3,8.8,10.57,1,3,10,0,2,0,0.58,0,13.79,0.41,13.78,0,0,0.0,0
28.77,3,57.23,28.82,4,3,10,1,1,0,3.73,0,39.66,5.77,41.17,0,0,0.0,1
16.56,3,19.17,14.05,2,4,5,9,1,0,1.89,0,22.41,0.29,5.63,0,0,7.5,0
33.46,3,39.02,42.08,4,4,11,10,0,0,3.39,3,13.79,0.17,38.84,1,3,20.56,0
35.81,3,13.73,31.96,1,4,0,10,0,4,1.78,0,41.38,4.45,29.85,0,0,35.84,0
36.4,3,14.11,30.26,1,3,5,3,2,5,2.46,0,18.97,14.14,51.85,0,0,0.0,1
44.03,3,37.79,41.84,4,3,7,5,0,0,1.43,0,18.97,1.2,59.23,0,1,39.62,0
32.05,3,9.59,28.06,1,4,4,2,2,0,1.5,3,17.24,2.38,28.47,0,0,0.0,0
52.24,3,58.94,51.46,4,4,3,1,1,0,1.59,0,10.34,0.71,25.54,0,3,18.97,0
9.98,3,30.48,9.48,3,0,13,1,1,0,0.52,0,17.24,0.74,49.73,0,3,3.03,0
14.22,3,28.77,18.74,3,5,0,2,1,0,2.9,1,29.31,1.27,32.14,0,1,13.38,0
15.85,3,13.84,19.77,2,4,8,0,1,4,1.76,0,13.79,2.72,48.69,0,1,9.84,0
24.7,3,27.14,21.23,2,3,2,10,1,0,1.58,0,8.62,1.43,39.63,0,3,15.92,0
9.0,3,20.41,9.0,2,4,1,1,0,4,1.67,0,20.69,2.07,56.71,0,0,0.0,1
24.39,5,31.75,22.23,4,3,10,11,1,0,1.35,0,10.34,1.56,60.63,0,0,0.0,0
9.69,3,9.03,11.81,2,5,3,2,1,4,1.61,0,10.34,1.23,55.3,1,3,14.98,0
4.67,3,47.64,6.77,4,4,7,11,2,4,3.08,1,6.9,0.3,48.57,0,3,8.56,0
31.51,5,33.02,24.25,2,2,3,5,0,0,1.6,1,12.07,1.72,54.06,0,4,28.88,0
30.53,5,11.9,19.15,2,2,1,5,0,4,2.88,0,20.69,6.39,49.55,0,0,0.0,1
62.82,3,34.6,67.06,2,4,9,4,0,4,1.07,3,13.79,4.78,87.32,0,0,0.0,0
26.22,5,74.35,23.36,6,4,12,7,0,4,1.16,1,20.69,1.89,39.22,0,5,14.52,0
40.22,5,40.1,29.41,3,4,4,4,1,0,2.06,1,46.55,2.07,48.13,0,1,38.14,0
36.4,3,15.04,33.09,2,2,11,11,0,0,2.7,0,12.07,16.85,74.23,0,0,29.78,0
25.98,5,55.85,28.33,6,4,13,7,0,0,3.73,0,22.41,1.12,57.4,0,0,0.0,1
10.92,3,12.88,13.59,2,4,11,10,1,4,2.2,0,32.76,0.86,47.68,0,3,15.09,0
28.18,5,33.84,26.17,4,2,13,0,1,0,0.85,0,6.9,1.45,30.69,0,0,0.0,1
18.2,3,53.48,23.15,5,4,11,3,1,0,2.81,0,29.31,3.23,83.04,0,0,0.0,1
17.81,5,31.54,13.72,3,3,11,6,0,0,2.34,0,20.69,1.87,64.86,0,0,0.0,0
3.72,3,47.64,4.71,4,2,13,9,1,7,2.05,0,15.52,1.28,39.11,0,0,0.0,0
61.84,5,25.03,34.82,2,4,3,2,1,8,2.06,0,15.52,0.0,0.0,0,0,0.0,1
45.21,3,20.36,41.57,2,0,13,1,1,5,2.73,0,17.24,1.53,18.07,0,0,0.0,1
68.69,3,20.77,65.61,3,4,13,5,1,0,1.66,1,29.31,1.29,12.02,0,0,0.0,1
7.05,3,60.86,10.63,5,4,11,2,1,0,2.38,0,10.34,0.68,88.3,0,0,0.0,0
80.43,3,35.17,80.34,3,5,7,1,0,0,2.43,0,25.86,3.54,68.81,0,3,79.07,0
37.38,5,72.3,38.49,7,3,3,5,0,5,0.83,0,15.52,1.71,81.12,0,0,0.0,1
12.92,3,31.82,15.03,3,4,11,5,1,0,2.32,1,20.69,0.75,34.74,1,0,16.59,0
4.11,3,57.95,5.68,5,4,1,1,0,5,2.66,0,22.41,1.42,46.43,0,3,5.41,0
27.59,3,3.67,28.59,1,4,0,3,0,4,0.61,0,17.24,2.79,47.83,0,1,33.25,0
13.5,3,6.35,10.33,1,2,4,2,1,12,0.89,0,15.52,0.68,6.16,0,1,1.97,0
33.46,5,28.36,25.77,3,4,8,1,2,0,1.2,1,6.9,1.33,38.57,0,3,28.05,0
19.77,3,57.92,23.06,4,3,11,5,1,10,2.03,0,10.34,0.33,46.52,0,1,7.66,0
46.38,3,17.51,43.48,2,1,1,1,2,4,0.76,0,15.52,1.87,36.12,0,3,22.71,0
0.79,3,25.21,1.27,3,1,11,5,1,0,1.9,0,12.07,0.71,52.23,0,0,0.0,1
21.92,5,29.28,15.05,3,4,13,10,0,4,2.2,0,13.79,3.27,68.59,0,2,16.74,0
37.73,5,38.18,22.71,3,4,8,3,0,4,2.96,0,27.59,3.23,39.32,0,0,18.5,0
8.02,3,31.17,9.31,3,4,10,0,1,0,2.19,0,6.9,0.51,80.26,0,3,7.79,0
38.94,3,31.59,34.38,2,0,11,4,0,0,1.63,0,12.07,1.48,80.36,0,3,11.11,0
31.12,5,25.74,19.88,3,4,13,1,1,0,0.96,3,10.34,1.76,88.11,0,0,0.0,1
87.28,5,37.79,57.7,4,4,5,1,0,0,1.38,0,13.79,4.18,74.7,0,2,68.09,0
15.46,3,26.75,16.49,3,4,6,6,1,7,1.86,0,8.62,3.23,87.91,0,0,0.0,1
36.59,5,53.6,35.21,5,4,9,11,1,5,1.73,0,17.24,2.37,50.16,0,0,0.0,1
17.81,3,15.04,19.57,2,4,10,1,1,4,0.8,0,17.24,0.71,30.36,0,0,0.0,0
19.37,3,13.36,17.04,1,2,6,4,2,0,0.26,0,5.17,0.67,67.82,0,3,13.91,0
36.99,5,31.06,25.47,3,4,11,1,1,0,0.75,0,10.34,1.31,43.03,0,0,0.0,1
26.42,3,24.73,24.56,2,2,0,1,0,0,1.96,6,24.14,1.68,44.92,0,1,22.44,0
0.88,3,25.77,1.4,3,4,3,5,1,7,2.59,1,15.52,0.16,6.61,0,0,0.29,0
24.66,3,17.16,30.26,1,2,0,10,1,0,1.11,0,1.72,0.57,29.54,0,0,21.43,0
33.46,5,84.63,37.08,6,1,0,9,0,6,1.66,0,8.62,11.73,5.2,0,0,0.0,1
30.29,3,26.92,28.48,2,0,9,1,0,0,3.24,0,17.24,1.75,53.14,0,0,0.0,1
33.46,3,15.97,31.02,2,4,12,2,1,0,0.82,1,56.9,2.7,33.57,0,0,0.0,1
28.77,3,3.67,22.46,1,4,11,7,1,0,2.95,0,13.79,0.97,13.3,0,1,25.26,0
46.77,5,41.31,28.94,3,2,13,11,1,4,2.3,0,24.14,2.27,44.39,0,2,6.97,0
29.94,3,7.5,35.64,1,0,13,2,1,4,1.32,1,18.97,1.9,41.96,0,3,26.53,0
20.84,3,18.18,20.65,2,3,10,10,0,0,1.6,1,22.41,0.71,18.21,0,0,0.0,0
37.6,3,10.69,45.4,1,3,1,1,1,0,0.87,0,20.69,3.09,40.37,0,0,0.0,0
26.87,5,36.0,20.36,4,3,8,1,1,0,2.22,0,20.69,3.14,67.16,0,0,0.0,1
15.85,5,42.44,14.3,4,4,13,1,1,4,1.42,1,10.34,1.76,61.27,0,0,0.0,1
50.96,5,60.66,42.65,5,3,10,7,2,0,1.24,1,12.07,0.7,49.74,0,0,0.0,1
54.6,5,17.02,43.81,2,4,2,9,0,0,1.2,0,10.34,0.0,0.0,0,0,0.0,0
36.97,5,45.89,25.43,5,3,7,0,2,4,2.56,0,13.79,7.93,59.73,0,0,0.0,1
82.76,3,28.8,72.82,3,4,5,5,0,0,4.77,0,24.14,3.21,51.35,1,2,19.74,0
13.89,3,8.8,14.79,1,4,1,1,0,0,1.66,4,15.52,0.18,10.45,0,0,11.53,0
87.28,5,27.09,51.61,3,2,10,4,2,4,1.78,0,36.21,8.95,36.51,0,0,0.0,1
47.16,5,23.67,36.53,2,4,3,11,0,4,0.43,0,13.79,3.34,45.84,0,4,36.83,0
79.08,3,46.13,82.69,5,3,12,8,0,0,1.16,0,8.62,3.84,73.16,0,0,0.0,0
35.81,3,34.97,35.57,3,3,2,2,1,0,1.83,0,6.9,0.12,9.76,0,1,37.17,0
6.07,3,11.65,6.46,2,3,7,8,0,4,1.29,0,10.34,1.11,52.35,0,3,1.42,0
13.74,3,9.7,13.0,1,0,6,1,1,0,2.5,0,13.79,1.51,49.91,0,3,16.04,0
19.78,3,17.02,17.95,2,2,11,5,1,0,0.04,0,5.17,1.0,13.1,0,0,0.0,0
28.77,3,46.96,27.58,4,2,13,2,0,12,1.45,0,15.52,4.42,90.11,0,1,20.03,0
59.3,3,13.36,48.89,1,4,11,1,0,4,1.28,0,31.03,1.86,24.02,0,3,19.8,0
4.81,3,43.8,4.76,4,3,7,2,1,0,1.58,0,31.03,1.8,31.01,0,0,0.0,1
9.64,3,20.45,10.83,2,4,11,1,0,0,1.32,0,17.24,0.85,23.66,0,3,15.18,1
36.99,3,26.75,48.96,3,2,13,0,0,4,1.86,0,25.86,4.24,66.61,0,0,0.0,1
29.55,3,7.12,31.77,1,0,5,10,1,0,1.48,0,22.41,1.67,66.2,0,1,17.98,0
35.81,3,20.21,32.83,2,5,12,1,0,0,1.5,0,8.62,2.06,60.54,0,0,0.0,0
15.85,3,22.75,15.01,3,2,11,7,1,0,2.2,3,36.21,0.93,21.81,0,0,1.1,0
87.28,5,30.45,52.8,3,3,2,0,1,0,2.7,0,32.76,4.53,28.19,0,0,0.0,1
53.03,3,1.85,55.16,1,2,3,7,0,2,0.42,0,20.69,0.75,7.75,0,0,0.0,0
21.72,3,7.95,23.41,1,4,11,1,0,0,0.53,0,10.34,1.32,25.26,0,3,16.46,0
10.96,3,27.07,12.49,2,4,1,2,1,0,0.77,0,13.79,1.51,51.08,0,0,0.0,0
28.77,3,20.41,24.5,2,3,13,1,1,0,1.93,0,36.21,2.78,69.93,0,0,9.19,0
43.44,5,23.24,30.25,2,4,10,3,1,4,1.29,0,24.14,1.91,40.98,0,0,30.17,0
16.43,3,37.79,18.54,4,3,4,8,0,0,2.88,1,22.41,5.71,57.78,0,0,0.0,1
33.46,3,10.65,29.78,1,3,12,6,2,0,1.2,0,36.21,2.11,34.91,0,0,0.0,1
46.87,3,30.82,56.65,3,1,12,1,1,0,1.82,0,18.97,3.23,69.07,0,0,0.0,0
21.72,3,2.22,22.72,1,3,13,1,1,4,1.9,0,32.76,1.94,19.2,0,2,10.17,0
45.21,3,38.11,44.63,3,4,3,10,0,0,2.58,0,22.41,3.77,34.82,0,0,0.0,0
4.7,3,36.3,5.59,3,4,10,1,1,4,1.61,0,17.24,0.76,29.85,0,0,0.0,1
24.07,3,27.07,24.8,2,4,12,7,1,4,2.2,0,10.34,2.49,58.93,0,3,14.38,0
41.29,3,22.13,43.34,2,3,9,1,0,0,1.34,0,27.59,3.65,38.88,0,0,0.0,1
41.29,5,24.13,27.28,2,1,10,1,0,4,2.61,0,32.76,1.25,14.46,0,0,0.0,1
28.3,5,48.67,20.46,4,4,1,2,0,4,1.88,0,46.55,2.09,36.54,0,0,0.0,1
9.98,3,38.14,9.61,3,4,1,3,0,0,0.73,0,22.41,0.91,48.13,0,2,3.99,0
52.36,5,44.8,34.49,4,1,0,1,0,0,3.19,0,25.86,4.28,65.05,0,0,0.0,1
21.72,3,31.44,20.7,3,4,5,1,0,4,2.08,0,24.14,2.48,54.34,0,0,12.44,0
63.99,3,10.65,57.39,1,4,8,1,0,0,1.49,0,13.79,0.0,0.08,0,0,0.0,1
35.81,5,37.09,24.12,4,3,3,1,1,0,3.31,1,22.41,1.16,22.77,0,0,0.0,1
59.3,5,21.51,34.41,3,3,1,1,0,0,1.73,0,29.31,2.67,27.26,0,0,0.0,0
13.89,3,3.33,14.55,1,4,1,11,0,0,1.54,0,27.59,0.85,15.34,0,0,0.0,0
21.72,5,25.72,16.17,3,5,7,5,0,0,1.35,1,39.66,3.06,40.09,0,0,0.0,1
41.29,3,9.49,40.71,2,4,3,11,0,4,1.03,2,20.69,4.87,52.48,0,3,3.39,0
54.6,5,33.26,36.25,3,3,2,2,2,0,2.96,0,22.41,5.2,73.48,0,0,0.0,1
24.66,3,40.0,33.96,3,0,1,1,1,1,1.64,0,12.07,1.29,31.25,0,0,0.0,1
73.62,5,55.32,54.48,4,0,9,1,0,0,2.62,0,10.34,4.59,80.42,0,0,0.0,1
59.88,5,63.31,62.4,5,4,1,6,0,0,1.68,1,32.76,4.41,64.19,0,0,0.0,1
35.89,5,57.24,39.57,5,3,13,1,0,0,3.37,0,12.07,2.83,57.4,0,0,0.0,1
17.42,3,2.87,18.24,1,3,1,9,0,2,1.66,0,13.79,0.39,16.26,0,3,9.33,0
21.92,3,18.18,21.73,2,3,2,7,0,4,1.71,0,22.41,3.51,50.41,0,0,0.0,1
23.68,3,19.2,19.66,2,4,6,10,2,1,2.43,0,12.07,3.63,36.81,1,0,0.0,1
29.55,3,10.65,31.91,1,2,3,1,0,0,0.52,0,13.79,23.15,3.23,0,1,20.4,0
9.69,3,7.34,11.7,1,2,13,7,0,0,1.14,0,13.79,0.21,25.71,0,3,3.69,0
17.03,3,25.03,15.71,2,4,7,1,0,0,2.71,0,10.34,0.81,72.95,0,0,0.0,1
19.37,3,28.23,25.96,3,0,1,1,0,0,1.83,0,12.07,2.73,58.55,0,3,18.84,0
33.46,5,25.72,20.73,3,2,11,3,2,4,1.74,0,27.59,1.79,35.9,0,0,0.0,1
80.43,5,37.79,57.7,4,0,10,0,1,0,1.29,0,6.9,3.8,81.81,0,0,0.0,1
23.68,3,33.01,21.8,3,4,12,1,0,0,3.46,0,27.59,3.64,42.09,0,1,26.79,0
9.98,3,19.38,10.98,2,4,7,7,1,4,2.19,0,10.34,0.61,69.83,0,3,2.56,0
44.91,3,13.66,54.27,1,3,13,3,0,0,3.11,0,27.59,1.96,40.64,0,0,0.0,0
17.81,3,26.75,20.67,3,4,13,1,1,1,1.55,0,8.62,0.5,27.78,0,1,26.04,0
16.05,3,9.49,12.91,2,4,9,0,0,0,1.4,0,8.62,0.5,52.5,0,0,0.0,0
16.61,3,39.42,16.68,4,1,12,0,2,0,2.49,0,10.34,0.2,10.33,0,3,19.58,1
66.73,3,26.73,76.2,2,4,3,2,0,4,2.75,0,32.76,7.59,54.03,0,3,84.85,0
45.5,5,36.34,31.95,3,3,5,11,0,2,0.13,0,10.34,0.18,14.64,0,0,0.0,0
30.38,5,57.92,30.56,4,3,9,8,1,3,1.76,0,15.52,1.48,44.31,0,3,27.32,0
30.35,5,48.33,23.04,5,3,13,3,0,0,2.91,1,18.97,0.73,23.19,0,0,0.0,1
24.66,3,33.01,33.74,3,0,12,1,1,0,1.05,0,15.52,1.65,41.54,0,3,21.33,0
66.73,3,36.3,79.1,3,4,7,4,2,2,1.02,0,17.24,2.08,63.13,0,0,0.0,0
52.05,3,57.85,64.57,6,4,0,4,0,0,1.37,1,27.59,2.43,81.89,0,0,0.0,1
40.09,5,73.14,29.9,6,0,11,1,1,0,2.65,1,15.52,0.54,65.66,0,3,40.88,0
62.82,5,58.94,59.78,5,4,7,1,2,0,1.15,0,15.52,2.65,70.18,0,5,42.31,0
60.86,3,4.42,64.07,1,2,3,3,1,0,0.73,0,3.45,1.73,59.55,0,3,2.76,0
37.28,3,99.62,46.32,7,2,1,3,1,0,3.43,1,22.41,3.22,54.43,0,0,0.0,1
33.95,3,29.8,40.86,3,3,13,8,0,1,2.8,0,32.76,1.72,53.48,0,3,2.75,1
73.58,5,12.88,47.81,2,4,11,1,1,4,0.47,0,5.17,3.31,44.92,0,4,42.77,0
53.51,5,48.69,34.79,3,2,11,11,0,0,1.26,0,17.24,2.01,73.57,0,3,12.36,0
16.05,3,21.27,13.49,2,4,13,5,0,5,1.78,0,51.72,7.96,71.43,0,2,14.84,0
45.21,5,28.8,34.16,3,3,2,8,2,0,1.63,0,32.76,1.47,21.89,0,0,0.0,0
14.33,3,45.0,15.84,4,1,13,5,0,0,2.48,0,5.17,0.76,87.82,0,2,12.5,0
51.08,3,33.85,66.86,3,0,1,8,0,0,0.64,0,18.97,1.48,48.34,0,0,0.0,0
8.02,3,13.36,8.55,1,2,11,4,1,0,2.26,0,13.79,0.47,27.36,0,3,11.48,0
10.67,3,20.45,11.99,2,4,11,1,0,0,1.68,0,12.07,0.58,40.75,0,0,0.0,1
73.39,5,57.2,57.28,5,4,11,1,0,0,1.52,0,10.34,3.96,93.27,0,3,38.63,0
22.29,3,52.38,25.45,4,4,11,10,2,4,2.65,0,22.41,0.95,52.81,0,3,25.86,0
16.54,3,45.25,21.51,4,4,5,11,0,0,2.62,2,15.52,1.01,49.74,0,0,0.0,0
14.68,3,8.43,12.66,1,3,2,2,1,0,1.46,0,29.31,1.1,18.93,0,2,11.99,1
19.77,3,37.09,21.66,4,3,0,1,1,5,2.57,0,24.14,0.88,22.19,0,0,0.0,1
8.41,3,17.26,6.81,2,2,3,1,1,0,0.68,0,13.79,0.64,43.2,0,0,0.0,1
29.55,3,20.59,34.0,2,4,11,0,1,0,1.82,0,20.69,2.42,60.75,0,0,0.0,0
3.13,3,10.27,3.18,1,3,11,1,1,4,1.94,0,27.59,0.7,7.65,0,0,0.0,1
11.39,3,43.8,11.59,4,3,12,4,2,0,2.29,0,6.9,0.84,43.61,0,3,9.03,0
59.88,5,52.02,60.83,4,3,3,0,0,0,1.65,0,15.52,4.43,87.82,0,0,92.15,0
76.52,3,15.24,83.49,2,4,3,3,0,4,2.01,0,29.31,18.61,38.34,0,3,9.22,0
12.33,3,12.73,10.97,2,2,13,1,0,0,0.49,2,24.14,3.16,60.08,0,0,0.0,0
22.66,3,37.09,20.72,4,4,1,3,1,4,2.42,0,24.14,0.57,22.86,0,3,6.21,0
26.42,3,13.44,24.09,2,1,13,1,0,4,1.85,0,15.52,1.14,34.21,0,0,0.0,0
