total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,recircle_b,recircle_u,app_type,early_return,early_return_amount,labels
24.07,3,16.13,24.02,2,4,13,6,0,4,1.5,0,24.14,1.15,14.55,0,2,1.09,0
21.72,3,41.1,26.88,3,4,11,3,0,4,2.36,0,46.55,1.75,81.43,0,0,0.0,0
62.82,5,47.85,50.47,4,4,5,1,0,4,1.27,0,6.9,1.99,84.09,0,1,45.09,0
6.85,3,21.51,6.99,3,4,9,1,0,0,3.14,2,22.41,0.99,56.25,0,3,8.44,0
17.03,3,21.04,15.44,2,3,13,2,1,0,0.43,0,5.17,0.58,38.55,0,0,0.0,0
33.46,3,36.34,39.68,3,3,13,3,0,4,1.52,0,8.62,2.12,76.15,0,2,4.93,0
31.7,3,36.34,42.0,3,4,1,11,1,0,2.08,0,18.97,1.4,41.61,0,0,0.0,1
44.03,5,21.78,24.58,2,1,1,2,0,0,0.35,0,10.34,0.66,32.14,0,5,42.05,0
37.38,3,13.39,40.41,1,3,0,3,2,3,2.27,1,12.07,0.51,15.59,0,3,50.86,0
26.42,3,36.34,36.7,3,3,11,5,1,0,2.08,2,18.97,1.77,50.51,0,0,0.0,0
12.33,3,25.77,11.79,3,4,3,1,2,5,4.09,0,8.62,2.34,74.04,0,0,0.0,1
19.77,3,14.24,19.81,2,4,11,1,1,0,2.27,0,24.14,1.35,47.26,0,3,21.04,0
20.63,5,49.86,15.7,4,0,11,1,1,1,0.89,0,12.07,0.12,4.5,0,0,0.0,1
5.99,3,61.8,6.34,5,3,13,8,1,0,1.1,1,13.79,1.88,47.45,0,3,0.74,0
8.02,3,14.42,8.88,2,4,1,1,0,0,1.85,5,15.52,0.55,24.79,0,2,9.94,0
15.85,5,40.22,14.09,3,4,12,2,2,0,2.54,0,18.97,2.63,42.57,0,0,24.15,0
24.19,5,36.07,14.52,3,4,7,3,1,0,1.96,0,10.34,0.77,64.19,0,4,6.06,0
38.94,3,29.99,35.6,3,4,2,3,1,4,1.9,0,10.34,0.52,19.23,0,0,0.0,1
36.89,3,18.43,41.29,2,0,13,11,2,0,2.64,0,13.79,4.65,69.02,0,2,2.51,0
24.32,5,39.42,14.96,4,4,11,6,0,0,1.06,0,12.07,1.28,69.55,0,3,5.49,0
10.96,3,21.27,9.04,2,4,3,1,1,4,1.19,0,17.24,0.68,18.07,0,0,0.0,0
33.46,3,6.01,40.01,1,2,13,0,0,2,2.44,3,18.97,2.84,36.35,0,0,0.0,0
8.02,3,37.5,9.58,3,5,2,1,1,0,1.86,2,15.52,0.95,74.71,0,0,0.0,1
33.46,3,32.57,32.23,3,4,11,8,0,0,1.05,0,13.79,0.78,53.56,0,0,26.63,0
49.12,5,45.98,31.34,4,5,4,9,0,4,1.44,0,22.41,6.95,68.69,0,0,0.0,0
23.68,3,43.87,21.79,3,3,4,1,1,5,0.6,0,12.07,0.43,11.28,0,2,23.49,0
43.25,5,36.67,34.32,3,3,13,1,0,0,0.53,0,17.24,1.33,31.43,0,0,0.0,0
36.99,3,29.93,38.68,3,4,4,1,1,0,2.02,0,20.69,2.63,36.43,0,3,13.19,0
13.89,3,15.04,15.24,2,5,2,1,0,0,1.19,0,20.69,6.36,57.09,0,1,2.92,0
5.28,3,5.95,6.35,1,4,8,1,0,0,3.01,0,31.03,19.09,19.82,0,3,2.82,0
59.88,3,7.85,71.35,1,3,13,1,2,5,0.29,0,15.52,21.9,0.29,0,0,0.0,0
33.46,5,79.96,28.16,6,0,7,10,2,6,1.22,0,13.79,3.82,55.71,0,0,0.0,0
24.66,5,30.45,21.45,3,3,3,1,0,0,0.63,0,37.93,0.71,23.3,0,0,0.0,1
13.89,3,15.04,15.24,2,2,2,2,1,4,0.85,0,10.34,1.39,46.43,0,1,16.48,0
38.06,3,5.12,36.69,1,2,1,1,0,0,2.25,0,31.03,2.19,43.34,0,0,0.0,0
41.29,5,52.64,35.72,5,4,1,1,1,0,1.81,4,8.62,0.42,66.43,0,0,0.0,1
19.61,3,0.03,16.53,1,3,12,1,0,4,0.43,0,6.9,1.35,23.3,0,0,0.0,0
26.42,3,12.88,24.02,2,3,8,1,0,0,1.2,0,24.14,7.22,58.85,0,0,2.1,0
45.21,5,30.41,29.28,3,4,8,1,0,0,1.92,0,22.41,3.7,66.68,0,5,41.01,0
17.96,3,3.67,20.83,1,1,5,1,0,4,1.18,0,12.07,0.8,19.11,0,0,0.0,0
32.73,3,34.6,38.54,2,4,12,7,1,0,1.46,0,22.41,2.07,29.66,0,3,23.66,0
58.51,5,43.67,47.73,5,0,9,3,0,0,1.38,0,17.24,2.33,52.81,0,1,55.92,0
45.21,3,22.81,42.66,2,4,13,1,0,0,1.99,1,8.62,2.22,73.84,0,0,0.0,0
14.87,3,29.84,17.93,3,4,3,11,0,4,1.09,0,6.9,1.01,41.61,0,2,5.51,0
6.07,3,45.0,7.52,4,4,2,10,1,5,1.24,0,6.9,0.2,25.94,0,3,10.1,0
15.15,3,31.85,20.23,3,1,7,3,1,4,1.61,0,15.52,0.95,34.21,0,0,0.0,1
11.39,3,4.96,9.66,1,3,13,9,1,8,0.06,0,3.45,0.33,22.19,0,2,12.87,0
18.59,3,17.85,15.45,2,4,1,1,0,0,0.37,0,8.62,0.96,64.67,0,3,13.53,0
45.21,3,37.62,44.54,3,3,1,1,1,0,1.12,1,15.52,2.62,48.92,0,0,0.0,0
37.38,3,19.05,42.69,2,4,2,2,0,0,1.67,0,25.86,2.11,48.21,0,3,49.57,0
13.31,3,29.35,14.02,3,3,9,5,1,5,1.98,0,12.07,0.36,14.54,0,0,0.0,0
14.81,3,25.03,15.04,2,3,5,10,1,4,1.29,0,8.62,1.15,56.05,0,0,0.0,0
17.03,3,23.6,15.88,2,1,3,1,0,9,1.28,1,10.34,1.79,73.57,0,0,0.33,0
33.46,5,22.13,20.83,2,4,13,1,1,0,1.17,0,5.17,0.56,41.04,0,2,30.89,0
35.81,3,34.97,35.57,3,3,2,2,1,0,1.83,0,6.9,0.12,9.76,0,1,37.17,0
49.12,3,11.87,41.2,2,3,2,5,0,3,1.74,0,20.69,1.15,12.44,0,3,25.61,0
23.19,3,20.21,21.1,2,4,1,11,1,4,1.79,0,6.9,2.09,73.28,0,2,23.78,0
54.6,5,42.44,37.21,4,4,1,9,2,2,0.55,4,18.97,1.26,26.25,0,2,49.65,0
28.16,3,6.01,27.17,1,4,4,10,1,0,2.31,0,18.97,1.4,33.66,0,3,32.07,0
41.78,3,41.1,51.61,3,0,3,1,0,0,2.3,1,12.07,1.61,52.73,0,3,30.47,0
25.78,3,43.77,24.33,4,3,12,8,1,0,1.95,0,13.79,0.94,85.63,0,2,5.28,0
12.23,3,50.91,13.85,4,5,11,11,0,0,3.18,0,17.24,0.85,48.09,0,0,0.76,0
49.9,3,11.07,45.35,1,3,2,11,0,4,0.85,0,34.48,2.76,29.43,0,3,34.91,0
68.69,5,7.95,39.11,1,4,8,0,0,0,2.47,0,22.41,1.65,32.37,0,0,0.0,0
36.4,3,41.1,34.12,3,2,12,1,1,4,1.76,1,13.79,2.09,52.23,0,3,34.07,0
29.94,3,8.85,36.32,2,4,1,1,0,4,2.09,0,31.03,2.4,59.6,0,0,0.0,0
38.16,3,19.56,35.43,2,4,1,1,0,0,1.83,0,20.69,5.84,68.3,0,0,0.0,0
38.55,5,64.59,36.14,5,3,6,3,1,0,1.76,1,15.52,3.54,63.42,0,4,31.85,0
29.35,3,58.35,40.41,6,2,5,1,0,0,2.34,0,29.31,2.13,63.33,0,0,12.51,1
77.1,3,32.57,68.81,3,4,4,1,2,4,0.8,0,18.97,1.17,30.63,0,3,0.9,0
54.21,3,41.42,52.48,4,4,13,10,1,0,2.16,0,12.07,1.21,81.7,0,0,47.59,0
7.05,3,24.7,9.2,2,5,8,1,0,0,0.95,1,12.07,0.4,22.96,0,3,2.37,0
11.51,3,31.17,10.78,3,1,10,6,0,0,1.55,0,25.86,0.76,18.16,0,2,5.56,1
62.05,3,41.42,65.31,4,2,7,4,0,4,2.35,0,20.69,1.93,48.67,0,0,0.0,0
10.29,3,20.45,10.33,2,4,1,1,0,8,1.9,0,24.14,12.74,68.3,0,2,7.65,0
0.59,3,51.67,0.88,4,4,4,5,0,9,2.83,0,13.79,1.67,85.36,0,1,1.63,0
17.61,3,28.8,22.73,2,3,1,0,1,4,1.4,0,17.24,1.4,69.49,0,3,27.84,0
75.73,3,31.44,73.06,3,5,12,0,2,0,1.3,0,10.34,1.55,33.06,0,0,7.14,0
7.05,3,10.11,8.66,1,4,3,1,2,5,1.39,0,12.07,2.52,65.82,0,1,11.04,0
47.55,3,17.51,44.59,2,3,7,0,1,0,0.69,1,25.86,2.79,28.04,0,3,49.6,0
8.02,3,62.74,10.72,5,3,3,0,1,4,0.97,0,5.17,0.64,75.71,0,0,0.0,0
19.77,3,34.45,20.96,3,3,13,1,0,0,2.36,0,13.79,0.84,77.14,0,0,0.0,1
5.36,3,62.71,5.09,5,4,11,1,1,7,3.06,0,24.14,1.44,34.74,0,0,0.0,0
35.91,5,8.94,21.67,1,4,4,5,0,0,1.32,0,17.24,2.8,53.89,0,3,41.48,0
26.22,3,8.08,24.97,1,3,0,1,1,0,3.4,0,25.86,0.92,11.77,0,3,8.3,0
49.12,5,36.67,29.57,3,4,4,1,0,4,1.64,1,27.59,3.48,71.43,0,0,0.0,1
11.89,3,25.21,15.78,3,3,4,11,0,0,2.59,0,18.97,1.77,25.71,0,0,0.0,1
29.24,3,38.39,29.43,4,5,11,11,2,0,1.31,0,13.79,1.14,46.07,0,0,0.0,0
21.72,3,41.82,22.13,4,1,8,11,2,5,2.95,0,15.52,0.72,46.25,0,0,0.0,0
12.66,3,38.11,13.58,3,3,2,6,1,0,1.31,0,17.24,1.36,54.72,0,0,0.0,0
4.37,3,37.09,4.7,3,3,13,8,1,0,0.85,0,13.79,0.34,28.19,0,1,1.1,0
11.86,3,2.22,9.91,1,4,10,6,0,4,1.92,0,17.24,0.97,14.69,0,3,13.83,1
34.4,5,99.62,35.38,7,4,4,1,0,0,5.27,0,20.69,2.04,73.85,1,0,0.0,0
8.1,3,39.85,8.27,4,2,13,2,1,5,3.82,0,17.24,1.67,54.24,0,0,0.0,0
19.37,3,28.23,25.96,3,0,1,1,0,0,1.83,0,12.07,2.73,58.55,0,3,18.84,0
28.7,3,23.67,25.31,3,1,13,9,2,0,2.53,0,17.24,1.16,21.47,0,0,32.11,1
45.21,3,19.32,42.0,2,3,2,1,1,0,1.42,0,10.34,2.12,60.36,0,3,20.52,0
27.59,5,36.31,23.28,4,4,4,10,1,0,2.81,1,20.69,3.04,62.51,0,0,23.46,0
8.81,3,14.11,10.86,1,3,10,7,0,8,1.5,0,5.17,0.33,58.16,0,1,9.89,0
32.58,5,65.38,23.08,5,3,11,6,1,0,2.33,0,15.52,0.71,28.3,0,0,0.0,0
41.29,3,29.83,43.99,3,4,2,1,0,5,1.07,1,22.41,1.1,21.91,0,0,0.0,0
51.08,3,3.67,59.25,1,2,7,2,0,4,0.45,0,10.34,4.27,38.05,0,0,29.3,0
9.0,3,21.51,9.25,3,4,0,4,0,0,1.05,0,13.79,0.79,62.76,0,0,0.0,1
1.17,3,34.45,1.39,3,2,8,1,0,4,3.07,0,18.97,1.87,46.34,0,0,0.0,0
34.21,3,42.78,48.88,5,4,12,1,0,0,2.49,0,24.14,8.75,64.73,0,2,26.75,0
23.68,3,23.05,20.73,3,4,10,8,1,0,2.09,0,10.34,0.58,27.55,0,0,0.0,1
13.87,3,30.68,18.08,2,4,13,1,0,0,2.98,1,17.24,1.2,50.36,0,0,0.0,1
64.29,3,19.56,80.64,2,4,7,10,2,4,2.83,1,43.1,2.33,10.36,0,3,40.5,1
19.37,3,14.45,23.52,2,4,11,1,1,4,2.01,1,18.97,1.44,39.6,0,0,26.98,0
17.81,3,28.8,20.47,3,4,10,5,1,0,0.93,0,13.79,1.69,31.88,0,1,6.9,0
7.14,3,38.91,6.3,3,2,1,0,1,0,0.51,0,12.07,0.71,58.12,0,0,0.0,0
9.51,3,21.27,12.15,2,4,11,10,1,0,1.33,0,13.79,1.04,72.9,0,0,11.67,0
80.43,3,10.69,72.26,1,3,10,11,0,0,1.9,0,15.52,5.47,63.21,0,2,14.87,0
28.77,3,22.85,24.37,2,4,13,6,1,0,1.66,0,32.76,1.08,23.13,0,2,26.7,0
11.15,3,9.63,10.62,1,4,3,8,0,4,2.03,0,20.69,0.63,18.37,0,0,5.4,0
27.51,3,3.64,26.22,1,2,12,3,0,0,0.53,0,15.52,0.83,54.2,0,2,3.63,0
28.77,5,64.59,20.19,4,4,3,9,2,0,2.47,0,24.14,2.15,26.79,0,4,29.38,0
24.66,5,46.13,23.92,4,1,0,3,1,0,3.39,1,29.31,2.26,50.59,0,0,0.0,1
14.97,3,17.85,12.33,2,4,1,7,1,0,2.81,0,10.34,0.58,23.72,0,0,0.0,0
7.14,3,42.16,6.64,4,1,0,4,1,5,2.47,0,10.34,0.03,8.04,0,0,0.0,0
79.65,5,22.53,46.93,3,4,4,5,0,3,1.24,0,6.9,1.14,56.07,0,0,0.0,1
56.95,5,26.75,45.3,3,4,9,8,0,0,2.18,1,22.41,3.89,57.93,0,5,44.67,0
73.58,3,52.35,84.1,4,2,13,1,0,0,1.9,0,25.86,4.17,55.64,0,2,78.52,0
20.9,3,31.75,20.83,4,1,8,11,1,0,1.28,0,12.07,1.61,54.43,0,0,0.0,1
17.03,3,5.95,14.76,1,4,12,1,0,0,0.16,1,8.62,0.83,22.97,0,3,20.97,0
7.05,3,14.24,8.87,2,4,12,7,0,1,0.36,0,3.45,0.2,20.36,1,3,0.75,0
9.25,3,41.31,12.7,4,4,11,4,1,13,1.65,1,13.79,0.67,72.24,0,3,6.27,0
47.55,3,26.73,44.89,2,2,4,10,0,0,2.44,0,22.41,1.99,36.26,0,3,23.34,0
74.56,5,21.51,43.52,3,4,0,11,0,0,1.25,0,25.86,2.08,17.3,0,0,0.0,0
49.9,3,18.18,49.86,2,4,5,10,1,0,0.77,0,17.24,4.57,69.34,0,2,17.8,0
13.89,3,25.93,16.06,2,3,3,1,1,0,1.84,0,15.52,1.89,73.48,0,3,10.3,0
37.28,5,49.52,33.24,5,3,1,1,1,0,1.12,0,15.52,1.69,44.69,0,0,0.0,1
7.98,3,31.06,7.37,3,4,3,9,0,3,2.8,0,32.76,0.52,10.04,0,0,0.0,0
47.75,3,21.27,48.29,2,4,3,1,0,0,2.3,5,10.34,0.37,49.36,0,0,0.0,1
30.53,5,27.26,20.96,3,4,11,1,0,0,1.73,0,34.48,4.69,31.76,0,0,0.0,1
23.68,3,19.05,20.31,2,4,0,1,0,4,2.16,1,17.24,1.23,43.61,0,1,20.59,0
16.51,3,26.75,22.0,3,5,10,11,0,2,19.16,0,8.62,0.39,39.46,1,2,16.86,0
21.72,5,24.72,16.6,3,3,11,8,0,0,2.43,0,43.1,1.01,27.55,0,0,27.05,0
36.4,5,25.03,20.06,2,2,3,1,0,0,1.22,0,31.03,1.38,37.64,0,3,14.22,0
5.28,3,38.39,7.48,4,4,7,1,0,2,0.46,0,3.45,0.79,88.68,0,1,9.44,0
17.61,3,36.34,19.74,3,3,8,5,0,0,2.13,0,10.34,1.22,80.34,0,2,24.4,0
23.68,3,0.03,18.37,1,4,10,1,0,0,1.52,0,3.45,0.91,28.69,0,1,26.97,0
1.76,3,88.6,3.74,6,0,2,10,1,0,1.22,0,20.69,0.44,26.4,0,0,0.0,0
68.69,5,58.94,51.87,5,0,1,1,0,0,2.69,0,15.52,4.18,74.73,0,0,0.0,1
3.13,3,21.04,3.4,2,4,7,3,2,0,0.82,0,1.72,0.06,7.32,0,0,5.47,0
37.42,5,41.31,22.97,3,3,1,6,1,4,1.85,0,15.52,1.45,51.18,0,0,0.0,0
36.15,3,33.92,47.4,3,3,2,1,0,1,1.88,2,17.24,1.17,56.63,0,1,3.83,0
17.61,3,3.67,20.42,1,4,7,8,0,4,0.58,0,18.97,0.42,2.07,0,0,6.21,0
1.9,3,9.03,1.56,2,4,1,9,0,5,1.21,0,17.24,0.33,37.31,0,2,4.39,0
40.51,3,10.65,48.89,1,4,2,1,0,0,2.1,0,12.07,1.62,50.0,0,3,62.71,0
12.33,3,21.87,11.1,2,0,10,7,2,0,1.85,3,15.52,0.35,32.83,0,0,0.0,0
24.07,5,29.93,16.17,3,4,9,2,1,4,3.09,0,13.79,1.36,69.26,0,0,0.0,1
47.16,3,31.17,54.79,3,4,1,1,1,4,1.37,2,24.14,3.84,47.76,0,0,21.6,0
10.57,3,0.03,12.24,1,1,11,11,1,0,1.98,0,15.52,1.55,25.89,0,0,0.0,0
25.24,3,19.73,23.75,2,3,2,1,1,0,0.8,0,12.07,2.07,80.45,0,2,13.83,0
44.03,3,35.17,40.31,3,3,12,1,1,0,1.52,2,15.52,1.39,27.03,0,3,41.39,0
35.23,3,4.96,41.89,1,5,12,4,0,0,1.4,0,43.1,3.41,34.08,0,3,14.1,0
5.06,3,31.44,6.76,3,4,7,10,1,0,1.03,0,12.07,0.65,48.31,0,0,0.0,0
7.63,3,41.82,7.61,4,0,13,11,0,9,3.16,1,15.52,0.62,57.88,0,1,1.44,0
17.81,3,42.33,22.18,4,3,13,4,1,0,3.58,0,17.24,1.33,36.73,0,3,24.84,0
16.2,3,29.29,20.97,2,1,11,0,1,4,2.14,0,15.52,1.12,53.19,0,0,22.44,0
19.37,3,15.0,23.89,2,4,4,1,1,0,1.7,1,13.79,0.95,71.17,0,3,6.86,0
19.77,3,8.85,19.26,2,3,11,11,1,8,0.88,0,10.34,0.16,10.64,0,0,0.0,1
5.99,3,37.02,5.76,4,4,13,11,1,3,1.29,0,10.34,0.46,33.84,0,0,0.0,0
8.02,3,31.17,9.31,3,4,10,0,1,0,2.19,0,6.9,0.51,80.26,0,3,7.79,0
24.07,3,1.85,20.42,1,4,10,2,0,0,1.77,0,15.52,1.8,18.48,0,3,18.37,0
5.28,3,28.91,7.11,3,4,0,10,1,13,0.11,0,6.9,0.18,13.51,0,2,9.63,0
36.84,5,51.4,24.08,4,4,1,1,0,0,1.9,0,20.69,1.32,43.39,0,0,0.0,0
41.29,3,10.65,40.4,1,4,13,8,2,0,1.38,0,29.31,2.83,41.63,0,3,18.3,0
7.05,3,26.41,9.29,2,4,10,7,0,2,1.32,0,17.24,0.46,27.36,0,0,7.96,0
21.72,3,25.14,25.03,2,3,11,8,1,4,0.89,0,10.34,1.74,50.66,0,0,0.0,1
17.81,5,10.36,11.91,2,3,13,2,1,3,2.68,0,34.48,0.84,7.05,0,3,16.03,1
23.29,5,48.67,20.46,4,4,4,1,0,0,2.26,0,36.21,6.46,78.44,0,0,0.0,1
8.81,3,59.49,13.52,5,4,13,1,1,9,3.05,0,20.69,1.05,59.02,0,0,11.71,0
15.51,3,33.01,19.0,3,4,10,9,1,0,1.41,0,12.07,1.37,36.15,0,0,0.0,0
27.5,3,53.51,26.37,5,4,3,3,1,0,4.19,0,24.14,1.71,25.7,0,2,3.07,0
15.46,3,23.67,16.23,3,4,3,2,0,0,0.21,0,5.17,0.43,37.31,0,3,14.08,0
24.66,5,16.43,19.89,2,3,13,5,0,4,1.22,1,8.62,4.98,75.86,0,0,0.0,0
32.05,3,32.24,43.6,4,2,1,6,1,4,1.73,0,27.59,0.77,13.93,0,0,0.0,1
15.85,3,7.12,19.08,1,4,8,1,1,4,2.64,0,17.24,1.73,30.26,0,0,0.0,0
3.52,3,27.03,4.9,3,1,0,3,1,3,1.77,0,8.62,0.3,43.62,0,1,6.77,0
7.63,3,22.75,7.04,3,4,12,4,1,0,0.34,0,12.07,0.65,46.88,0,0,0.0,0
66.73,3,29.35,78.37,3,0,12,6,0,0,2.45,0,17.24,5.6,76.53,0,2,65.62,0
49.12,5,37.62,29.75,3,3,10,1,0,4,1.92,0,32.76,3.8,51.66,0,3,45.23,0
5.28,3,45.03,8.01,4,4,13,5,1,0,1.31,0,8.62,7.39,85.89,0,1,10.41,0
45.21,5,41.31,30.45,3,4,13,1,0,0,1.08,0,20.69,3.2,57.24,0,2,14.46,0
45.21,5,40.97,36.87,3,2,1,4,0,0,1.16,0,18.97,1.01,30.27,0,4,19.35,0
42.27,5,44.49,40.81,4,2,3,4,2,0,1.32,1,22.41,2.61,78.64,0,0,0.0,1
27.59,3,30.45,32.57,2,1,13,1,0,5,1.69,2,20.69,0.38,56.06,0,2,30.28,0
32.68,3,13.44,32.8,2,4,10,5,1,4,1.17,0,25.86,0.97,14.34,0,0,0.0,0
19.37,3,24.24,24.51,2,4,8,1,2,0,2.0,0,10.34,0.81,39.13,0,3,25.39,0
21.72,3,21.78,24.65,2,1,1,1,2,0,1.13,0,34.48,1.56,16.61,0,3,4.23,0
13.31,3,11.68,12.86,1,2,8,0,2,4,0.89,0,17.24,5.65,32.59,0,0,0.0,0
80.43,3,0.03,69.47,1,3,3,1,0,0,1.89,0,25.86,4.42,18.56,0,3,32.79,0
87.28,3,89.42,99.93,7,0,9,10,1,0,2.35,2,29.31,2.3,81.07,0,0,0.0,1
73.39,3,30.45,71.81,3,4,7,10,1,4,2.95,0,31.03,7.17,71.07,0,3,55.78,0
58.51,3,17.16,58.27,1,2,11,2,1,4,1.21,0,12.07,1.83,49.58,0,0,0.0,0
16.97,3,37.79,17.39,4,4,2,5,1,5,2.45,0,12.07,0.36,48.09,0,3,2.3,0
17.03,3,5.86,14.57,1,4,13,11,0,2,1.35,0,22.41,0.5,5.31,0,2,4.3,0
7.93,3,19.05,10.24,2,4,13,10,1,9,1.7,2,25.86,4.46,80.17,0,0,0.0,1
15.85,5,49.82,15.01,4,1,4,3,0,0,2.51,0,15.52,1.9,55.3,0,0,0.0,1
32.05,5,47.16,31.41,5,4,13,6,1,0,2.05,0,18.97,1.72,73.13,0,0,0.0,1
12.39,3,22.98,11.42,2,5,1,8,1,0,2.0,1,37.93,0.27,10.24,0,3,6.82,0
33.46,5,31.75,22.48,4,0,0,1,1,4,3.4,0,18.97,1.84,34.91,0,0,0.0,0
59.88,3,28.77,78.18,3,1,3,1,0,0,0.36,0,6.9,0.99,60.36,0,3,69.09,0
39.63,3,23.19,37.41,2,4,12,5,1,0,1.03,0,20.69,1.77,40.08,0,1,31.6,0
34.4,5,37.09,25.43,3,0,4,1,0,4,2.41,2,25.86,1.68,53.09,0,0,0.0,0
7.4,3,15.04,5.72,2,3,4,1,2,0,1.77,4,6.9,1.56,55.2,0,0,0.0,0
0.39,3,14.42,0.12,2,3,3,6,1,7,1.29,0,5.17,0.0,0.0,0,3,1.34,0
27.59,5,33.01,22.7,3,0,1,11,2,2,0.81,0,6.9,1.17,45.71,0,3,26.33,0
25.98,5,55.85,28.33,6,4,13,7,0,0,3.73,0,22.41,1.12,57.4,0,0,0.0,1
45.21,3,24.7,43.01,2,3,4,11,0,0,1.87,0,12.07,1.94,47.67,0,2,33.26,0
10.92,3,24.7,14.16,2,4,3,5,0,0,0.75,0,12.07,0.61,40.13,0,3,3.29,0
18.79,3,32.57,17.94,2,4,1,2,1,4,0.88,0,10.34,0.68,28.32,0,0,19.23,0
8.81,3,36.0,12.45,4,2,2,3,1,0,1.21,1,10.34,0.29,37.12,0,0,0.0,1
10.45,3,8.94,8.05,1,2,4,0,1,4,1.16,1,27.59,0.95,37.88,0,3,6.56,0
24.66,3,42.44,33.53,4,4,0,1,2,1,1.49,0,8.62,1.74,31.91,0,0,37.6,0
47.16,5,21.51,35.93,3,4,11,1,0,0,0.19,1,8.62,1.1,56.48,0,0,0.0,0
11.15,3,27.07,11.37,2,4,1,6,1,0,1.26,0,13.79,2.1,45.15,0,2,2.2,0
23.68,3,9.49,19.32,1,4,13,1,2,0,1.94,1,17.24,0.47,17.86,0,3,6.03,0
13.5,3,0.03,10.2,1,2,3,1,0,2,1.7,1,13.79,1.48,74.2,0,0,0.0,0
31.12,3,18.18,28.22,2,4,11,1,1,4,0.55,0,6.9,0.93,60.27,0,2,23.76,0
34.64,3,21.91,31.96,2,4,1,0,0,2,1.19,0,13.79,1.1,69.07,0,3,42.04,0
6.07,3,7.71,6.24,1,4,4,0,1,4,0.47,0,10.34,0.25,8.8,0,3,0.96,0
7.24,3,4.04,7.52,1,4,11,1,1,8,0.52,0,8.62,0.0,0.0,0,3,10.51,0
12.33,3,37.62,11.92,3,3,1,2,0,0,2.47,0,17.24,0.67,31.86,0,2,14.72,0
18.59,3,47.64,17.29,4,2,8,1,2,2,2.45,2,41.38,2.59,45.27,0,1,16.5,0
14.97,3,11.65,18.19,2,4,11,7,0,4,2.7,0,24.14,1.66,34.73,0,3,4.49,0
23.68,3,22.98,20.31,2,1,11,1,1,0,2.62,0,22.41,2.4,81.61,0,0,2.37,0
25.27,3,37.62,22.7,3,3,10,4,0,0,2.25,0,5.17,1.47,53.72,0,3,0.87,0
19.37,3,9.97,23.08,1,4,2,2,0,0,1.21,1,27.59,2.32,19.59,0,1,1.32,0
45.21,5,28.8,28.12,2,4,1,1,1,2,0.92,1,6.9,0.09,6.05,0,1,51.45,0
7.14,3,11.07,5.48,1,4,11,3,1,0,1.44,0,15.52,1.0,28.27,0,3,5.53,0
9.98,3,24.26,11.69,3,4,7,6,1,0,2.85,0,24.14,0.7,17.08,0,3,11.08,0
9.98,3,23.89,9.38,3,4,3,0,1,0,1.77,0,6.9,0.74,68.49,0,0,0.0,1
6.07,3,19.05,6.89,2,2,1,4,0,4,1.01,0,10.34,0.56,57.3,0,3,1.42,0
35.81,3,38.14,35.3,3,1,8,4,0,0,2.11,0,20.69,2.52,67.35,0,0,0.0,0
29.99,3,45.24,42.15,4,5,6,1,1,0,0.85,0,17.24,2.32,73.57,0,3,22.36,0
